"ID","campaign","volume","Date","area","tnc_mgperg","mass_noTNC","sla_free","lma_free","leafstarch","leafsugar","percstarch"
"1-1",1,"10",2013-03-07,29.23,125.61392157,0.2011087980389,145.344213107704,0.00688021888603832,0.0126987058833,0.0161924960778,5.521176471
"1-1",2,"10",2013-03-22,30.28,204.64798045,0.2306520856695,131.279974824889,0.00761730798115918,0.04411763359,0.0152302807405,15.2129771
"1-1",3,"10",2013-04-08,18.945,196.65873569,0.1687016655051,112.298832043406,0.00890481211428345,0.023541151095,0.0177571833999,11.21007195
"1-1",4,"10",2013-04-17,24.72,121.00105357,0.263699683929,93.7430020077527,0.0106674629421117,0.017875337838,0.018424978233,5.958445946
"1-1",6,"10",2013-05-16,28.65,142.74863089,0.3343280339529,85.6942795411413,0.0116693903648482,0.0224223287652,0.0332496372819,5.749315068
"1-2",2,"15",2013-03-22,19.65,135.50814726,0.1383186964384,142.063224321602,0.00703911941162341,0.0072332673264,0.0144480362352,4.520792079
"1-2",3,"15",2013-04-08,21.425,133.04609137,0.1820603208123,117.680776922769,0.00849756456533489,0.0101782129029,0.0177614662848,4.846768049
"1-2",4,"15",2013-04-17,19.72,170.09216421,0.1576824888001,125.061445630781,0.00799606941176978,0.020631888891,0.0116856223089,10.85888889
"1-2",5,"15",2013-05-01,24.24,151.91397478,0.2798683883226,86.6121398893358,0.0115457255908663,0.0255011842107,0.0246304274667,7.727631579
"1-2",6,"15",2013-05-16,14.83,146.35809251,0.1621919624231,91.4348638393924,0.0109367472975792,0.0133244036703,0.0144836339066,7.012844037
"1-4",1,"20",2013-03-07,14.62,213.75362071,0.1022120293077,143.036001721361,0.00699124687467168,0.018987284485,0.0088006862073,14.60560345
"1-4",2,"20",2013-03-22,14.24,248.57897895,0.0976847327365,145.775082769707,0.00685988291688905,0.025373370789,0.0069418964745,19.51797753
"1-4",3,"20",2013-04-08,13.97,237.4944839,0.1181883549955,118.201154424494,0.00846015425880458,0.0255359399845,0.01127570502,16.47479999
"1-4",4,"20",2013-04-17,15.92,198.3485387,0.144297263034,110.32780293448,0.00906389843178392,0.027922183092,0.007780553874,15.51232394
"1-4",5,"20",2013-05-01,19.99,165.0314033,0.217091835142,92.0808467390057,0.010860021767984,0.0253389622642,0.0175692025938,9.745754717
"1-4",6,"20",2013-05-16,19.25,153.15415271,0.1778376279309,108.244808615417,0.00923831833407273,0.0182296551717,0.0139327168974,8.680788177
"1-6",1,"25",2013-03-07,20.54,238.30083984,0.1599568236336,128.409651638553,0.00778757661312561,0.039780348846,0.0102628275204,18.94302326
"1-6",2,"25",2013-03-22,11.3,218.08750608,0.0938294992704,120.43120860568,0.00830349551065487,0.020238399996,0.0059321007336,16.86533333
"1-6",3,"25",2013-04-08,12.71,216.70959998,0.117493560003,108.176141736411,0.00924418253367427,0.02273210526,0.009774334737,15.15473684
"1-6",4,"25",2013-04-17,13.45,178.24936109,0.1396976086147,96.2793861210355,0.0103864393022082,0.019596547615,0.0107058437703,11.52738095
"1-6",5,"25",2013-05-01,11.23,212.53652781,0.1102448861066,101.864135349927,0.00981699787235975,0.020638333338,0.0091167805554,14.74166667
"1-6",6,"25",2013-05-16,12.28,214.70494322,0.117794258517,104.249563218124,0.00959236632874593,0.01865204082,0.013553700663,12.43469388
"1-7",1,"35",2013-03-07,35.48,84.338114359,0.19228899598461,184.513938607489,0.00541964475717616,0.00155200729929,0.0161589967161,0.7390510949
"1-7",2,"35",2013-03-22,29.47,144.37056584,0.1882384755152,156.556729007404,0.0063874609947472,0.0203486419752,0.0114128825096,9.249382716
"1-7",3,"35",2013-04-08,26.48,198.8856872,0.192267435072,137.724830989105,0.00726085479879154,0.028616989944,0.019115574984,11.92374581
"1-7",4,"35",2013-04-17,31.39,143.59950742,0.2483561428482,126.391075493495,0.00791195103052564,0.0246734817814,0.0169703753704,8.508097166
"1-7",5,"35",2013-05-01,33.75,128.76193662,0.3136457028168,107.605491473012,0.00929320600938667,0.0230805633816,0.0232737338016,6.411267606
"1-7",6,"35",2013-05-16,26.52,149.029891,0.22976192943,115.423821804559,0.00866372282918552,0.0179044549767,0.0223336155933,6.631279621
"1-8",1,"5",2013-03-07,20.64,253.55290634,0.149289418732,138.254942482242,0.00723301447344961,0.04033024912,0.010380332148,20.16512456
"1-8",2,"5",2013-03-22,17.245,253.67146909,0.1119492796365,154.042974246861,0.00649169496297478,0.03143840304,0.0066123173235,20.95893536
"1-8",3,"5",2013-04-08,11.615,212.01557598,0.1024379751226,113.385685202181,0.00881945545609987,0.019517915196,0.0080441096814,15.01378092
"1-8",4,"5",2013-04-17,13.42,219.60212636,0.0936477448368,143.302970331929,0.00697822241704918,0.019111191336,0.0072410638272,15.92599278
"1-8",5,"5",2013-05-01,17.24,170.74906135,0.1409726595705,122.29321666006,0.00817706842056265,0.017480689654,0.0115466507755,10.28275862
"1-8",6,"5",2013-05-16,6.66,191.30767189,0.080869232811,82.3551772225307,0.0121425274490991,0.01080728155,0.008323485639,10.80728155
"2-1",1,"20",2013-03-07,36.1,191.92097747,0.2020197556325,178.695394848762,0.00559611511447368,0.03464097745,0.0133392669175,13.85639098
"2-1",2,"20",2013-03-22,35.91,191.4943204,0.234466647084,153.156111739572,0.00652928563308271,0.03415074626,0.021382606656,11.7761194
"2-1",3,"20",2013-04-08,29.68,197.74992681,0.2166075197613,137.02202043912,0.00729809702699798,0.0266957307387,0.0266967495,9.887307681
"2-1",4,"20",2013-04-17,29.82,148.02041793,0.2641136704417,112.905931563972,0.00885693059831321,0.0245217045463,0.021364625012,7.910227273
"2-1",5,"20",2013-05-01,17.97,141.41655969,0.1373733504496,130.811397852547,0.00764459379240957,0.0123502702704,0.01027637928,7.718918919
"2-1",6,"20",2013-05-16,37.08,142.14739473,0.3345625160553,110.831304227372,0.0090227215764644,0.0162736363647,0.03916384758,4.172727273
