"volume","d13c.mean","d13c.se"
"5",-30.1028571428571,0.259135139277102
"10",-30.18,0.253424169178493
"15",-30.2957142857143,0.362155301749172
"20",-29.7442857142857,0.282765737997081
"25",-29.7185714285714,0.251740877466801
"35",-30.58,0.382199150281879
"1000",-30.0242857142857,0.337165051731112
