"ID","totalarea","totalcount","volume"
"1-1",277.6,22,"10"
"2-1",525.5,21,"20"
"3-1",217.4,28,"5"
"4-1",999.3,60,"25"
"6-1",1388.4,69,"35"
"7-1",655.11,60,"15"
"1-2",432.2,33,"15"
"2-2",574.2,32,"15"
"3-2",5442.1,276,"1000"
"4-2",227.7,22,"10"
"5-2",308.7,24,"25"
"7-2",2832.6,161,"1000"
"2-3",5627.4,207,"1000"
"3-3",383.9,23,"25"
"5-3",182,33,"10"
"6-3",358.27,43,"5"
"7-3",471,91,"25"
"1-4",479.1,55,"20"
"2-4",794.3,37,"25"
"3-4",405.6,38,"20"
"4-4",281.3,15,"35"
"5-4",387.9,35,"15"
"6-4",413.17,34,"20"
"7-4",138.3,22,"10"
"1-5",4792.31,261,"1000"
"3-5",768.6,30,"35"
"4-5",155.5,15,"5"
"5-5",267.94,33,"20"
"6-5",267.35,37,"10"
"7-5",461.6,52,"20"
"1-6",516.6,77,"25"
"2-6",228.5,14,"5"
"3-6",350.2,27,"10"
"4-6",831.9,33,"15"
"5-6",6684.3,304,"1000"
"6-6",450.6,39,"15"
"7-6",116.9,17,"5"
"1-7",2227.4,148,"35"
"2-7",582.3,70,"35"
"3-7",359.3,32,"15"
"4-7",573.2,116,"20"
"5-7",1211.4,69,"35"
"6-7",392.2,59,"25"
"1-8",309.9,48,"5"
"2-8",376.8,38,"10"
"4-8",4943.3,319.8,"1000"
"5-8",73.6,9,"5"
"6-8",2713,185,"1000"
"7-8",929.7,71,"35"
