"month","Par","Temperature","RH"
"Jan",472.756398319328,24.3253557422969,65.4298028011204
"Feb",410.001949032738,22.0552108134921,73.1916381448413
"Mar",393.557728270609,21.5116756272401,69.7440568996416
"Apr",313.002658796296,17.0844748842593,74.7451886574074
"May",229.063408378136,13.5995990143369,74.7177990591398
