"Date","gs","D","A","Ca","Ci","ID","volume"
"2013-03-07",0.155387134,1.35669307,8.370920192,400,287.6617651,"1-1",10
"2013-03-07",0.15525272,1.357456567,8.251463909,400,288.9382169,"1-1",10
"2013-03-07",0.154956281,1.35664398,8.381996594,400,287.1944256,"1-1",10
"2013-03-07",0.155222535,1.356880451,8.430559297,400,286.8122838,"1-1",10
"2013-03-07",0.155357755,1.356634036,8.425787238,400,286.9677851,"1-1",10
"2013-03-22",0.303948596,1.354292484,14.52645064,400,289.9547389,"1-1",10
"2013-03-22",0.303954855,1.353987351,14.53456098,400,289.8925023,"1-1",10
"2013-03-22",0.304036954,1.353807811,14.52779751,400,289.950105,"1-1",10
"2013-03-22",0.303965656,1.354437143,14.51829629,400,290.0169786,"1-1",10
"2013-03-22",0.304306277,1.353364228,14.49172325,400,290.2574161,"1-1",10
"2013-04-08",0.484709833,0.851317739,17.14406468,400,307.3768777,"1-1",10
"2013-04-08",0.483894127,0.850938213,17.37237444,400,306.1553887,"1-1",10
"2013-04-08",0.483573271,0.851280743,17.40469749,400,305.963245,"1-1",10
"2013-04-08",0.483573271,0.851280743,17.40469749,400,305.963245,"1-1",10
"2013-04-08",0.483573271,0.851280743,17.40469749,400,305.963245,"1-1",10
"2013-04-17",0.48226628,1.309772863,19.84107843,400,291.1360118,"1-1",10
"2013-04-17",0.482586939,1.309192837,19.96990897,400,290.5407824,"1-1",10
"2013-04-17",0.482586939,1.309192837,19.96990897,400,290.5407824,"1-1",10
"2013-04-17",0.482604025,1.309351135,19.95064846,400,290.6276825,"1-1",10
"2013-04-17",0.482604025,1.309351135,19.95064846,400,290.6276825,"1-1",10
"2013-05-01",0.331360153,1.305849224,18.87815192,400,267.9770187,"1-1",10
"2013-05-01",0.330445176,1.306812919,18.81954076,400,268.0963588,"1-1",10
"2013-05-01",0.332135114,1.304682487,18.63960612,400,269.6768477,"1-1",10
"2013-05-01",0.331049518,1.305916451,18.88963078,400,267.8005479,"1-1",10
"2013-05-01",0.331049518,1.305916451,18.88963078,400,267.8005479,"1-1",10
"2013-05-16",0.277847698,1.338961356,15.89628355,400,273.178839,"1-1",10
"2013-05-16",0.277835923,1.33935413,15.90949922,400,273.0802814,"1-1",10
"2013-05-16",0.277871495,1.339539929,15.91843877,400,273.029328,"1-1",10
"2013-05-16",0.277822129,1.339893649,15.93560593,400,272.8853223,"1-1",10
"2013-05-16",0.277797586,1.340266929,15.93494074,400,272.8745563,"1-1",10
"2013-03-07",0.415777757,1.25202643,14.39532203,400,303.2731565,"1-2",15
"2013-03-07",0.415624157,1.251704511,14.51677257,400,302.6657452,"1-2",15
"2013-03-07",0.416117803,1.2527428,14.31085444,400,303.6465083,"1-2",15
"2013-03-07",0.416074888,1.252093297,14.30544221,400,303.7320517,"1-2",15
"2013-03-07",0.416075667,1.252388708,14.28606488,400,303.7879248,"1-2",15
"2013-03-22",0.427074419,1.467590326,18.4210343,400,289.7590839,"1-2",15
"2013-03-22",0.427074419,1.467590326,18.4210343,400,289.7590839,"1-2",15
"2013-03-22",0.427032927,1.467197159,18.37898456,400,289.9133047,"1-2",15
"2013-03-22",0.426988563,1.467467615,18.41498876,400,289.7517185,"1-2",15
"2013-03-22",0.427052696,1.466938082,18.35174091,400,290.0384565,"1-2",15
"2013-04-08",0.624928787,0.812242275,21.76422534,400,300.2860245,"1-2",15
"2013-04-08",0.623472887,0.812719377,21.57125517,400,300.9516027,"1-2",15
"2013-04-08",0.623472887,0.812719377,21.57125517,400,300.9516027,"1-2",15
"2013-04-08",0.623472887,0.812719377,21.57125517,400,300.9516027,"1-2",15
"2013-04-08",0.627712184,0.810799104,21.47173366,400,301.7496591,"1-2",15
"2013-04-17",0.62366756,1.200436442,22.52149008,400,295.0583354,"1-2",15
"2013-04-17",0.623391788,1.200587101,22.48544762,400,295.1568301,"1-2",15
"2013-04-17",0.624301169,1.200089157,22.4853263,400,295.2501689,"1-2",15
"2013-04-17",0.624528664,1.199858785,22.52575006,400,295.1025175,"1-2",15
"2013-04-17",0.624528664,1.199858785,22.52575006,400,295.1025175,"1-2",15
"2013-05-01",0.407469898,1.261565351,21.01197845,400,274.2037089,"1-2",15
"2013-05-01",0.406559778,1.262080437,20.79131006,400,275.2536485,"1-2",15
"2013-05-01",0.404426329,1.263861661,21.03868221,400,273.4723151,"1-2",15
"2013-05-01",0.405991164,1.26275572,20.98580497,400,274.0776753,"1-2",15
"2013-05-01",0.408478172,1.260760091,20.87090205,400,275.2121844,"1-2",15
"2013-05-16",0.315688661,1.207917162,17.80699763,400,271.4691947,"1-2",15
"2013-05-16",0.315569412,1.208293505,17.7516028,400,271.7750548,"1-2",15
"2013-05-16",0.315851968,1.207402204,17.81370418,400,271.4965792,"1-2",15
"2013-05-16",0.315628934,1.208491876,17.72802684,400,271.9068689,"1-2",15
"2013-05-16",0.315851968,1.207402204,17.81370418,400,271.4965792,"1-2",15
"2013-03-07",0.141663448,1.677752762,8.588991189,400,273.9908665,"1-4",20
"2013-03-07",0.141593295,1.678536775,8.572616233,400,274.1835438,"1-4",20
