"","plant_id","LA","meanleafsize","stemdiam","leaflen","nleavesp","crownsurf"
"1","euchae3",0.0877642719450339,25.8130211603041,0.1,11.4967647058824,34,0.72791880079814
"2","euchae1",0.0191619533926815,12.774635595121,0.1,8.18,15,0.203318895240933
"3","euchae2",0.191205216065421,16.3423261594377,0.1,9.09880341880342,117,1.2298493145316
"4","euchaeR90",0.0970061278608768,20.639601672527,0.1,10.2387234042553,47,0.811305577296852
"5","euchaeR50",0.0479357685212981,19.9732368838742,0.1,9.6875,24,0.422253070581449
"6","euchaeR70",0.105442499448786,22.9222824888666,0.1,10.640652173913,46,0.707648352570282
"7","euchaeR91",0.0727824516950468,34.6583103309747,0.1,12.9666666666667,21,0.380474162576639
"8","euchaeR71",0.0592258715309767,29.6129357654883,0.1,11.8345,20,0.392795674653859
"9","10nd",2.98984659509729,26.766755551453,26.4,12.5726320501343,1117,6.88714466777219
"10","11nd",3.5128912457921,36.9778025872853,24.9,12.0930421052632,950,6.77031288187175
"11","12nd",2.42149664217408,33.4923463647867,28.4,12.9207053941909,723,6.51334011381377
"12","7d",1.59594206651459,29.0699829966227,18.7,12.261839708561,549,4.88644671935764
"13","33d",1.47605595003785,22.5696628446154,17.2,12.0484862385321,654,3.94808590678153
"14","8d",2.42701377767854,29.9261871477008,22,12.5621824907522,811,4.98915475990588
"15","35nd",2.21550272617881,38.2642957889259,23.9,13.160414507772,579,6.62697523274215
"16","36nd",1.14668877206412,18.7674103447483,14.8,11.1042389525368,611,4.00668538196729
"17","46nd",2.32916565074132,36.5646099017476,21.3,14.7018681318681,637,6.45575104812427
"18","9d",1.37481954967931,20.0119293985343,17.5,11.1393886462882,687,4.96014590035145
"19","44d",0.962016226778698,24.3548411842708,19,11.7179746835443,395,4.12458263264458
"20","45d",0.85860802239571,23.7841557450335,15.9,10.967811634349,361,3.99383658472239
"21","21d",1.63029610710248,25.5532305188477,16.7,10.8306739811912,638,4.967405511205
"22","47nd",2.43915503457227,24.3671831625601,23.3,11.553006993007,1001,7.32896012474504
"23","23nd",2.44929439357014,41.5839455614625,25.2,14.7446349745331,589,7.99964789019722
"24","20d",1.27903478135727,23.8181523530217,17.6,11.8882867783985,537,6.10690283634987
"25","19d",1.84380263187574,20.6472859112625,21.8,10.4218812989922,893,5.04318818024546
"26","22nd",4.23576192739368,32.1622014228829,24.9,13.8371753986333,1317,7.8254451374929
"27","43d",1.65082208212411,21.300930091924,19,11.8414451612903,775,4.57291026203606
"28","24nd",3.45494478177595,36.7156724949623,26.7,14.6442507970244,941,7.92760198030967
"29","31d",0.537405037893262,18.9227126018754,12.7,9.3555985915493,284,2.82672601537978
"30","32d",1.47443939315131,24.5331013835492,18.3,11.4258901830283,601,5.17107574717505
"31","34nd",2.11877837544804,37.4342469160431,23.8,13.8298409893993,566,6.09187759020322
"32","esalroomot50",0.333336630183673,15.3611350315057,5,7.18645161290323,217,1.40135516172144
"33","Esal-ch7-tree37",0.857875536242911,9.4065300026635,5,5.75600877192982,912,2.27252434765502
"34","esalroomot41",0.273482406567519,7.74737695658695,5,5.99637393767705,353,1.52978753010764
"35","esal-ch2-tree48",0.632905680045352,5.08766623830668,5,4.41302250803859,1244,2.26365811313924
"36","esalroomot392",0.3237791045891,5.95182177553493,5,5.05145220588235,544,1.46328840281462
"37","esal-ch10-tree1S",0.32962338795858,4.58446992988289,5,3.88151599443672,719,1.44407466836503
"38","esalroomot591",0.532435333109504,8.69992374361935,5,6.22202614379085,612,3.20494566674781
"39","esalroomot131",0.265604568011311,10.6241827204524,5,7.14724,250,1.20848886590998
"40","esalroomot151",0.284768862366298,7.30176570169994,5,6.12589743589744,390,1.36424406277215
"41","esal-ref",0.588330752632674,7.4284185938469,5,4.98330808080808,792,1.64139306808403
"42","esalroomot588_fix",0.500370314499654,6.37414413375355,2,4.89500636942675,785,2.1326724151325
"43","Esal-ch12-tree46_fix",0.174218538667297,5.76882578368532,5,4.6823178807947,302,1.01276288866975
"44","esalroomot360",0.56831898816,10.0056159887324,5,6.87283450704225,568,2.28504137046235
"45","Esal-ch1-tree54",0.490492526541546,8.5154952524574,5,5.36935763888889,576,1.2253924827888
"46","esalroomot251",0.348036039630325,9.40637944946823,5,5.56513513513514,370,1.67032825805526
"47","esalroomot460",0.414539143852728,8.74555155807444,5,6.39816455696203,474,1.85582472494312
"48","esalroomot259",0.416570744925029,10.5997645019091,5,6.64111959287532,393,2.10384347613674
"49","esalroomot449",0.541814059803201,6.12219276613786,5,4.85980790960452,885,1.34151130501837
"50","Ambtr1",1.48209067739967,25.5532875413737,39.3,8.90615517241379,580,3.99980847425427
"51","Eletr5",1.84892170284342,36.1117520086605,34.3,10.44029296875,512,6.53364069194336
"52","Eletr4",1.98444943767705,30.814432262066,33.6,9.69237577639752,644,7.34688971637052
"53","Ambtr2",1.71927644546168,27.0752196135698,30.1,11.9912283464567,635,5.38596258984907
"54","Eletr8",1.6626021338867,27.1223839133229,31.3,10.3699673735726,613,3.89364772420824
"55","Eletr1",3.07198633350986,36.0561776233551,39.3,10.1530164319249,852,6.88365845664988
"56","Eletr2",2.5383389119386,46.9193883907319,37.1,11.5466358595194,541,5.59106901722958
"57","Eletr3",2.22179850478359,35.8933522582164,37.6,9.7475605815832,619,5.35845307423769
"58","Ambtr3",1.3064192329706,33.9329670901456,25.8,11.5746493506494,385,3.11238783170388
"59","Eletr6",1.0524790138136,21.9724220002839,30.4,8.35640918580376,479,2.74873799882209
"60","Eletr7",2.79081328445274,46.5135547408791,37.4,12.4075166666667,600,8.89764165386246
"61","Ambtr4",1.36513909691113,20.8100472090111,24.1,8.40278963414634,656,4.09132909076908
