"Date","volume","Photo.mean","Photo.sd","Photo.length","SE"
2013-03-07,"5",13.5157297424857,2.97747835425751,7,1.12538103706332
2013-03-07,"10",15.03709115,4.48114752184731,7,1.69371456157162
2013-03-07,"15",17.1894219054286,3.79348647063347,7,1.43380311474061
2013-03-07,"20",13.5581790088286,4.3697964062631,7,1.65162779585085
2013-03-07,"25",13.9156059594286,5.64946893226523,7,2.13529854776563
2013-03-07,"35",19.2443566725714,3.54219960578897,7,1.33882560729552
2013-03-07,"1000",23.289638376,2.14143027002079,7,0.809384563494415
2013-03-22,"5",11.6051732209143,2.82928773191434,7,1.06937024658447
2013-03-22,"10",14.0582418584571,4.49172101789327,7,1.6977109674325
2013-03-22,"15",17.1774415305714,3.34704536497015,7,1.26506423750892
2013-03-22,"20",15.9869519222857,1.83603332284595,7,0.69395536729685
2013-03-22,"25",13.0604569817429,2.12154297951981,7,0.80186787422063
2013-03-22,"35",17.19458271,4.7729429729094,7,1.80400287545879
2013-03-22,"1000",24.5842952745714,1.7212587671327,7,0.650574662831821
2013-04-08,"5",13.0374737468,2.53633319337394,7,0.958643838809391
2013-04-08,"10",14.2683472137143,3.05258543897778,7,1.15376884675888
2013-04-08,"15",16.4464047105714,3.51944024590387,7,1.33022337783052
2013-04-08,"20",19.2872902196667,2.92886997362473,6,1.19570615972324
2013-04-08,"25",14.5786130834286,2.64462932248863,7,0.999575928179164
2013-04-08,"35",15.5179834871429,1.76970670246054,7,0.668886261176397
2013-04-08,"1000",21.3128578111429,2.57843740140213,7,0.974557733608239
2013-04-17,"5",14.255287532,2.92646595760503,7,1.10610016344563
2013-04-17,"10",17.3700131282857,3.64056926918685,7,1.37600584528179
2013-04-17,"15",17.4390812748571,3.97318090617785,7,1.50172122737383
2013-04-17,"20",19.2332858334286,3.62251247458032,7,1.3691810184241
2013-04-17,"25",17.595969866,3.22808472284917,7,1.22010134110082
2013-04-17,"35",14.6636697462857,2.58854789132128,7,0.978379139602395
2013-04-17,"1000",19.5578332031429,2.8146966999312,7,1.06385535487031
2013-05-01,"5",15.9914533248571,3.34482235167352,7,1.26422401745977
2013-05-01,"10",15.8520544956857,3.65943940523117,7,1.3831380863074
2013-05-01,"15",16.914848188,3.01858646391616,7,1.14091844206686
2013-05-01,"20",19.2588735145143,5.38358271110812,7,2.03480300230557
2013-05-01,"25",17.9000980428571,2.93668182578737,7,1.1099613986795
2013-05-01,"35",14.6920981371429,2.31003667004888,7,0.873111792627014
2013-05-01,"1000",19.7103988997857,2.41683423967006,7,0.913477479747552
2013-05-16,"5",15.6469759914286,4.46667209592748,7,1.68824336484225
2013-05-16,"10",16.022143802,1.76410694073219,7,0.666769750185763
2013-05-16,"15",16.4610000402857,2.74593138320569,7,1.03786450817284
2013-05-16,"20",17.4304095925714,3.27116491178335,7,1.23638412200847
2013-05-16,"25",16.351238781,3.00430103134422,7,1.13551905607309
2013-05-16,"35",14.7629874394286,2.03412994341408,7,0.768828852094792
2013-05-16,"1000",20.1231346222143,2.8432377887923,7,1.0746428724808
