volume,starch_mgperg,starch_se,sugar_mgperg,sugars_se,campaign
5,186.6817,24.8776,45.7058,4.6077,1
10,120.9432,18.8379,54.6752,4.6994,1
15,80.5355,23.1448,50.6344,1.9098,1
20,137.7029,9.9684,50.8488,4.0927,1
25,124.4977,25.0131,61.3564,6.7926,1
35,94.2295,16.7611,62.3664,6.3101,1
1000,64.2831,12.2723,65.7823,4.5591,1
5,137.5836,21.8598,50.5357,4.2527,2
10,114.8089,24.4023,58.7552,4.0277,2
15,51.6521,17.0479,61.8467,5.5016,2
20,125.5205,28.2189,58.375,5.2556,2
25,101.1086,29.8083,62.8395,6.4545,2
35,73.6948,12.0192,65.6273,5.1253,2
1000,35.5422,18.7898,73.8973,5.8287,2
5,159.8916,12.5126,64.3074,2.7076,3
10,109.098,10.6067,73.7633,7.8044,3
15,67.3224,16.4112,76.0193,6.2388,3
20,108.4041,21.4707,80.0381,6.2488,3
25,105.4844,14.1419,75.2945,5.1571,3
35,100.0511,13.3665,71.4033,5.2571,3
1000,70.6149,16.8911,88.7874,5.6223,3
5,117.8593,13.7535,62.7789,1.8061,4
10,98.1459,19.2602,59.4929,4.1599,4
15,70.8996,20.8559,71.6292,3.1378,4
20,77.3845,20.1367,58.3266,5.3218,4
25,85.9771,11.0689,62.2354,3.4156,4
35,91.6405,16.2267,58.1171,2.3289,4
1000,65.012,12.7694,61.4056,5.5469,4
5,79.8044,11.5319,72.9331,5.6235,5
10,79.1572,15.1518,73.6772,4.4083,5
15,84.323,19.1401,68.4567,4.658,5
20,62.3107,12.6537,68.6374,4.4149,5
25,97.4671,15.0179,70.7568,5.308,5
35,105.3811,16.4451,69.0709,3.6477,5
1000,81.0967,17.4335,74.0629,5.6522,5
5,67.6101,12.3468,88.4886,3.887,6
10,54.6367,7.6495,84.459,3.426,6
15,70.2421,14.5578,92.2593,4.0373,6
20,59.5023,12.6873,83.749,4.2332,6
25,88.28,8.9807,82.8791,5.1346,6
35,123.4703,18.2521,84.2478,3.1393,6
1000,92.0797,12.1703,79.5473,5.8702,6
