"ID","volume","mass","C_perc","N_perc","Croot","fineroot","Nfr","Ncr","rootN","rootmass","Ntrans"
"1-2","15",0.1498,38.812,0.72992,8.27,9.46372972972973,0.0690776560432432,0.060364384,0.129442040043243,17.7337297297297,0.0855396335166269
"1-4","20",0.1514,42.876,0.67702,4.89,9.26160194174757,0.0627028974660194,0.033106278,0.0958091754660194,14.1516019417476,0.0823743524685253
"1-6","25",0.1499,41.391,0.72119,5.78,8.94768786127168,0.0645298300867052,0.041684782,0.106214612086705,14.7276878612717,0.0850253148345724
"1-7","35",0.1505,38.579,0.72407,27.13,13.9556626506024,0.101048766554217,0.196440191,0.297488957554217,41.0856626506024,0.0851953268364507
"2-1","20",0.1524,50.596,0.70378,10.09,3.73857142857143,0.026311318,0.071011402,0.09732272,13.8285714285714,0.0839903117172509
"2-2","15",0.1522,50.366,0.80515,10.48,3.54792915531335,0.0285661515940054,0.08437972,0.112945871594005,14.0279291553134,0.0898509997638571
"2-3","free",0.1511,45.779,0.85027,44.76,50.4330769230769,0.428817323153846,0.380580852,0.809398175153846,95.1930769230769,0.092341261192309
"2-4","25",0.1489,50.058,0.77957,12.96,10.3420240137221,0.0806233166037734,0.101032272,0.181655588603773,23.3020240137221,0.0884083836294094
"2-6","05",0.1486,48.525,0.67646,5.57,2.58193103448276,0.0174657306758621,0.037678822,0.0551445526758621,8.15193103448276,0.0823402000366051
"2-7","35",0.1502,50.479,0.8353,4.75,6.56201680672269,0.0548125263865546,0.03967675,0.0944892763865546,11.3120168067227,0.0915224655852358
"2-8","10",0.1512,48.671,0.76006,8.22,4.61629764065336,0.0350866318475499,0.062476932,0.0975635638475499,12.8362976406534,0.0872922380031098
"3-1","05",0.1498,48.734,0.91394,3.68,2.355,0.021523287,0.033632992,0.055156279,6.035,0.0957464328102293
"3-2","free",0.1514,50.295,0.92365,40.45,36.8999774266366,0.340826641501129,0.373616425,0.714443066501129,77.3499774266366,0.0962552781358874
"3-3","25",0.1517,47.437,0.81973,6.43,6.00275590551181,0.049206390984252,0.052708639,0.101915029984252,12.4327559055118,0.0906630962354838
"3-4","20",0.151,45.547,0.73628,4.94,7.83766853932584,0.0577071859213483,0.036372232,0.0940794179213483,12.7776685393258,0.0859124063862858
"3-5","35",0.1522,50.419,0.66693,12.62,8.67802973977695,0.0578763837434944,0.084166566,0.142042949743494,21.298029739777,0.0817568314292804
"3-6","10",0.1506,48.755,0.76533,7.97,3.95358208955224,0.0302579498059702,0.060996801,0.0912547508059701,11.9235820895522,0.087595116425012
"3-7","15",0.1524,47.458,0.71244,2.89,3.53893333333333,0.02521277664,0.020589516,0.04580229264,6.42893333333333,0.0845067074730356
"4-1","25",0.1509,50.79,0.69975,17.51,7.11905013192612,0.049815553298153,0.122526225,0.172341778298153,24.6290501319261,0.0837489274952027
"4-2","10",0.1516,51.069,0.67803,5.43,4.89714285714286,0.0332040977142857,0.036817029,0.0700211267142857,10.3271428571429,0.0824359133711749
"4-4","35",0.1517,51.934,0.78764,5.33,4.83355421686747,0.0380710064337349,0.041981212,0.0800522184337349,10.1635542168675,0.0888660032642874
"4-5","05",0.1513,47.74,0.75266,3.13,2.16,0.016257456,0.023558258,0.039815714,5.29,0.0868651794761612
"4-6","15",0.1518,50.124,0.66995,6.96,3.86916666666667,0.0259214820833334,0.04662852,0.0725500020833334,10.8291666666667,0.0819421429328252
"4-7","20",0.151,52.312,0.95925,3.87,4.02267605633803,0.0385875200704226,0.037122975,0.0757104950704226,7.89267605633803,0.0980985724213094
"4-8","free",0.1503,47.016,0.86902,35.07,55.7260839160839,0.484270814447552,0.304765314,0.789036128447552,90.7960839160839,0.0933567915038965
"5-2","25",0.1504,50.72,0.78294,5.08,6.13037593984962,0.0479971653834586,0.039773352,0.0877705173834586,11.2103759398496,0.0885997681844598
"5-3","10",0.1493,45.775,0.83402,3.29,2.39397727272727,0.01996624925,0.027439258,0.04740550725,5.68397727272727,0.0914521186384874
"5-4","15",0.1509,49.031,0.7644,4.85,3.56488687782805,0.0272499952941176,0.0370734,0.0643233952941176,8.41488687782805,0.0875417426591271
"5-5","20",0.1386,47.687,0.68586,6.62,4.87021276595745,0.0334028412765958,0.045403932,0.0788067732765958,11.4902127659575,0.0829116260974122
"5-7","35",0.1518,51.307,0.9208,27.42,8.27260606060606,0.0761741566060606,0.25248336,0.328657516606061,35.6926060606061,0.0961062018977137
"5-8","05",0.1512,50.605,0.70362,2.08,1.36028571428571,0.00957124234285711,0.014635296,0.0242065383428571,3.44028571428571,0.0839807413262983
"6-1","35",0.1508,50.675,0.68564,20.37,6.83255319148936,0.0468467177021277,0.139664868,0.186511585702128,27.2025531914894,0.0828982969001641
"6-3","05",0.1512,52.931,0.77609,5.89,1.93556962025316,0.0150217622658227,0.045711701,0.0607334632658227,7.82556962025316,0.0882103208754393
"6-4","20",0.1524,49.383,0.76583,4.59,3.8956157635468,0.0298337942019705,0.035151597,0.0649853912019705,8.4856157635468,0.0876237986974665
"6-5","10",0.1516,37.071,0.70962,5.07,4.5005,0.0319364481,0.035977734,0.0679141821,9.5705,0.0843388947595407
"6-6","15",0.1495,48.82,0.60911,8.91,3.826,0.0233045486,0.054271701,0.0775762496,12.736,0.0781249480013683
"6-7","25",0.1503,52.797,0.75657,5.36,3.96138461538462,0.0299706475846154,0.040552152,0.0705227995846154,9.32138461538462,0.0870910862466295
"6-8","free",0.1482,50.829,0.84484,23.45,40.2327338129496,0.339902228345323,0.19811498,0.538017208345323,63.6827338129496,0.0920450955135632
"7-1","15",0.1508,47.66,0.70569,9.46,4.08777272727273,0.0288470033590909,0.066758274,0.0956052773590909,13.5477727272727,0.0841044749559471
"7-2","free",0.1484,49.349,0.99865,16.44,28.8342492917847,0.287953230552408,0.16417806,0.452131290552408,45.2742492917847,0.10009955842892
"7-3","25",0.1509,52.796,0.62967,2.14,3.77901098901099,0.0237952984945055,0.013474938,0.0372702364945055,5.91901098901099,0.0794352611066232
"7-4","10",0.149,52.102,0.78037,3.06,2.41363636363636,0.0188352940909091,0.023879322,0.0427146160909091,5.47363636363636,0.0884538532551087
"7-5","20",0.1521,51.275,0.77809,5.39,5.2587084148728,0.0409174843052838,0.041939051,0.0828565353052838,10.6487084148728,0.0883242037574942
"7-6","05",0.1523,51.114,0.85403,3.24,1.54396475770925,0.0131859222202643,0.027670572,0.0408564942202643,4.78396475770925,0.0925457918605605
"7-8","35",0.1522,49.74,0.74606,14.56,4.92388261851016,0.0367351186636569,0.108626336,0.145361454663657,19.4838826185102,0.0864825282794696
