"ID","Date","volume","campaign","Photo","Nperc","area","mass","sla","massarea","Nmass","Narea","Npercentage","starch_mgperg","sugars_mgperg","starch","sugars","tnc","Nmass_notnc","lma_notnc","A_mass"
"1-1","2013-03-07","10",1,19.28999806,0.011,29.23,0.23,0.0127086956521739,78.6862812179268,0.00253,1.15533596837945,1.1,55.21176471,70.40215686,0.05521176471,0.07040215686,0.12561392157,0.00289345869337573,89.9903179602443,245.150714475565
"1-1","2013-03-22","10",2,18.116713368,0.01,30.28,0.29,0.0104413793103448,95.7727873183619,0.0029,1.04413793103448,1,152.129771,52.51820945,0.152129771,0.05251820945,0.20464798045,0.00364618424133855,120.415595816993,189.163476132082
"1-1","2013-04-08","10",3,19.236899676,0.01,18.945,0.21,0.00902142857142857,110.847189231987,0.0021,0.902142857142857,1,112.1007195,84.55801619,0.1121007195,0.08455801619,0.19665873569,0.00261408207606977,137.982690740025,173.544316362771
"1-1","2013-04-17","10",4,24.140352404,0.011,24.72,0.3,0.00824,121.359223300971,0.0033,0.749090909090909,1.1,59.58445946,61.41659411,0.05958445946,0.06141659411,0.12100105357,0.00375427071147553,138.065265941289,198.91650380896
"1-1","2013-05-16","10",6,22.17481906,0.012,28.65,0.39,0.00734615384615385,136.125654450262,0.00468,0.612179487179487,1.2,57.49315068,85.25548021,0.05749315068,0.08525548021,0.14274863089,0.00545930886626496,158.793160740691,162.899632325385
"1-2","2013-03-22","15",2,23.445100788,0.013,19.65,0.16,0.01228125,81.4249363867685,0.00208,0.944711538461538,1.3,45.20792079,90.30022647,0.04520792079,0.09030022647,0.13550814726,0.00240603771268342,94.1882056247179,287.935144052625
"1-2","2013-04-08","15",3,30.328812814,0.015,21.425,0.21,0.010202380952381,98.0163360560093,0.00315,0.68015873015873,1.5,48.46768049,84.57841088,0.04846768049,0.08457841088,0.13304609137,0.00363341115213123,113.058301116491,309.426102161882
"1-2","2013-04-17","15",4,29.136946916,0.013,19.72,0.19,0.0103789473684211,96.3488843813387,0.00247,0.798380566801619,1.3,108.5888889,61.50327531,0.1085888889,0.06150327531,0.17009216421,0.00297623409911388,116.095884658834,302.410838517644
"1-2","2013-05-01","15",5,29.266015034,0.012,24.24,0.33,0.00734545454545455,136.138613861386,0.00396,0.612121212121212,1.2,77.27631579,74.63765899,0.07727631579,0.07463765899,0.15191397478,0.00466933764056865,160.524533847932,214.972183158836
"1-2","2013-05-16","15",6,27.362039734,0.012,14.83,0.19,0.00780526315789474,128.118678354686,0.00228,0.650438596491228,1.2,70.12844037,76.22965214,0.07012844037,0.07622965214,0.14635809251,0.00267090917162676,150.084803979926,213.567920660642
