"ID","plot","pot","campaign","mass","Photo","Cond","Ci","CTleaf","Area","Trmmol","rd25_eucs","resppermass","resppermass25","volume","rd"
"1-4",1,4,6,0.21,-0.247674027,0.0022016328,577.31748256,12.970422928,19.25,0.0123103644,0.522504591693293,1.17940012857143,2.4881171033014,20,0.247674027
"1-6",1,6,6,0.15,-0.1106532628,0.001861581,491.83084706,12.972751478,12.28,0.0108535292,0.233407056534709,0.737688418666667,1.55604704356472,25,0.1106532628
"1-7",1,7,6,0.27,-0.3261203096,0.010097767,450.51460998,12.921116524,26.52,0.0572215244,0.690111788248828,1.20785299851852,2.55596958610677,35,0.3261203096
"2-1",2,1,6,0.39,-0.4387753948,-0.0046142102,247.47199328,12.867907134,37.08,-0.0296965864,0.931576067221369,1.12506511487179,2.38865658261889,20,0.4387753948
"2-2",2,2,6,0.29,-0.237902408,0.0135235852,427.21339822,12.407371014,19.98,0.076485881,0.519737989497329,0.820353131034483,1.79219996378389,15,0.237902408
"2-3",2,3,6,0.37,-0.29207638,0.0028073,566.324509025,12.4686802225,41.62,0.01622514625,0.635668702291333,0.789395621621622,1.7180235197063,1000,0.29207638
"2-7",2,7,6,0.36,-0.227790701,0.0075195004,446.74175024,12.714702658,33.43,0.044971528,0.488248264728864,0.632751947222222,1.3562451798024,35,0.227790701
"2-8",2,8,6,0.29,-0.4372789864,0.006605247,504.72283306,12.695024808,19.82,0.0399049726,0.938411615141888,1.5078585737931,3.23590212117892,10,0.4372789864
"3-1",3,1,6,0.16,-0.2850671212,-0.005350427,312.81773604,12.733639794,14.03,-0.0353495574,0.610297383875053,1.7816695075,3.81435864921908,5,0.2850671212
"3-2",3,2,6,0.37,-0.3582177958,0.0081136218,471.15207128,12.592148886,39.64,0.0469150854,0.773668687716821,0.968156204864865,2.0909964532887,1000,0.3582177958
"3-3",3,3,6,0.34,-0.399344553,0.0056480432,512.07096528,12.577657146,22.75,0.0339641716,0.86326688096231,1.17454280294118,2.53902023812444,25,0.399344553
"3-4",3,4,6,0.31,-0.360288054,0.018076667,430.30596846,12.543128574,19.74,0.1032039168,0.780509875778122,1.16221952903226,2.51777379283265,20,0.360288054
"3-5",3,5,6,0.3,-0.2615366464,0.0110846836,435.44359712,12.574726276,21.58,0.0652844458,0.565467601690884,0.871788821333333,1.88489200563628,35,0.2615366464
"3-7",3,7,6,0.32,-0.350420735,0.023386867,423.84583786,12.599438342,31.43,0.121259475,0.756486713903648,1.095064796875,2.3640209809489,15,0.350420735
"4-2",4,2,6,0.185,-0.2966098124,0.0179899192,424.27571776,12.487611588,19.81,0.1016925816,0.644780192692982,1.60329628324324,3.48529833888098,10,0.2966098124
"4-5",4,5,6,0.135,-0.2234192606,0.0206850386,413.97039074,12.49546618,13.5,0.1201448894,0.485437815862652,1.65495748592593,3.59583567305668,5,0.2234192606
"4-6",4,6,6,0.22,-0.3343481394,0.0065762338,479.7080919,12.69842132,22.46,0.0405432564,0.717368076924334,1.51976427,3.2607639860197,15,0.3343481394
"4-7",4,7,6,0.095,-0.1351857252,0.0224064522,406.81400706,12.237889034,28.21,0.1154961882,0.298461041535748,1.42300763368421,3.1416951740605,20,0.1351857252
"5-2",5,2,6,0.16,-0.2537505796,0.0210538308,416.65286038,12.14985433,16.74,0.1172969996,0.563294516999704,1.5859411225,3.52059073124815,25,0.2537505796
"5-3",5,3,6,0.145,-0.333230256,-0.004092267,267.76598584,12.496561536,9.88,-0.0267070064,0.723981516992333,2.29813969655172,4.99297597925747,10,0.333230256
"5-4",5,4,6,0.27,-0.3380828096,0.012602937,441.54738972,12.665415914,22.4,0.07590598,0.726868990731555,1.25215855407407,2.69210737307983,15,0.3380828096
"5-6",5,6,6,0.36,-0.3437063846,0.0414783898,412.79986886,12.313552544,29.28,0.1903762128,0.755272509707195,0.954739957222222,2.0979791936311,1000,0.3437063846
"5-7",5,7,6,0.34,-0.2611670154,0.0025040352,565.27060796,12.486302714,34.12,0.0157520532,0.567777484292965,0.768138280588235,1.66993377733225,35,0.2611670154
"5-8",5,8,6,0.19,-0.3181547168,-0.005097204,297.93668626,12.648862482,11.23,-0.0348445996,0.684723939960008,1.67449850947368,3.60381021031583,5,0.3181547168
"6-3",6,3,6,0.13,-0.2846656288,0.0067398974,466.82859558,11.67169312,10.24,0.0297154948,0.650955704624206,2.18973560615385,5.00735157403235,5,0.2846656288
"6-4",6,4,6,0.19,-0.4095836188,0.0043181706,551.52499294,11.613131726,23,0.019169596,0.940017952277312,2.15570325684211,4.94746290672269,20,0.4095836188
"6-5",6,5,6,0.22,-0.3668012432,0.0181411078,432.17690094,11.545492942,21.39,0.0735706276,0.845370893997173,1.66727837818182,3.84259497271442,10,0.3668012432
"6-7",6,7,6,0.25,-0.1971060172,0.002309717,534.9032232,11.575383032,24.16,0.0106200944,0.453426453958557,0.7884240688,1.81370581583423,25,0.1971060172
"6-8",6,8,6,0.23,-0.1751502972,0.002260341,523.52978448,11.719818242,21.31,0.0102817998,0.399330090475691,0.761523031304348,1.73621778467692,1000,0.1751502972
"7-1",7,1,6,0.2,-0.3368988128,0.0044287932,520.84366946,11.621423358,16.53,0.0176330416,0.772808942542208,1.684494064,3.86404471271104,15,0.3368988128
