"ID","volume","Croot","Froot","leafmass","stemmass","frootSS_dw","fineroot","root","shoot","totalmass","rootshoot","frootleaf"
"1-1","10",5.72,8.82,2.4,8.84,0.580954773869347,9.40095477386935,15.1209547738693,11.24,26.3609547738693,1.34528067383179,3.91706448911223
"1-2","15",8.27,8.47,4.45,9.2,0.99372972972973,9.46372972972973,17.7337297297297,13.65,31.3837297297297,1.29917433917434,2.12668083814151
"1-4","20",4.89,8.27,4.77,8.54,0.991601941747573,9.26160194174757,14.1516019417476,13.31,27.4616019417476,1.06323079953025,1.94163562720075
"1-5","1000",39.39,66.31,46.32,40.72,1.46444444444444,67.7744444444444,107.164444444444,87.04,194.204444444444,1.2312091503268,1.46317885242756
"1-6","25",5.78,7.61,5.48,8.81,1.33768786127168,8.94768786127168,14.7276878612717,14.29,29.0176878612717,1.03062896160054,1.63278975570651
"1-7","35",27.13,12.51,20.72,28.24,1.44566265060241,13.9556626506024,41.0856626506024,48.96,90.0456626506024,0.839167946294984,0.673535842210541
"1-8","5",5.51,2.12,2.38,8.37,1.05833333333333,3.17833333333333,8.68833333333333,10.75,19.4383333333333,0.808217054263565,1.33543417366947
"2-1","20",10.09,3.22,4.67,12.51,0.518571428571429,3.73857142857143,13.8285714285714,17.18,31.0085714285714,0.804922667553634,0.80055062710309
"2-2","15",10.48,2.95,6.2,10.54,0.597929155313352,3.54792915531335,14.0279291553134,16.74,30.7679291553134,0.837988599481084,0.572246637953766
"2-3","1000",44.76,49.24,52.43,50.89,1.19307692307692,50.4330769230769,95.1930769230769,103.32,198.513076923077,0.921342207927574,0.961912586745697
"2-4","25",12.96,9.81,8.01,14.38,0.532024013722127,10.3420240137221,23.3020240137221,22.39,45.6920240137221,1.04073354237258,1.29113907786793
"2-6","5",5.57,2.06,2.69,6.99,0.521931034482759,2.58193103448276,8.15193103448276,9.68,17.8319310344828,0.842141635793674,0.95982566337649
"2-7","35",4.75,5.87,5.71,7.36,0.692016806722689,6.56201680672269,11.3120168067227,13.07,24.3820168067227,0.865494782457742,1.14921485231571
"2-8","10",8.22,4.18,3.97,10,0.436297640653358,4.61629764065336,12.8362976406534,13.97,26.8062976406534,0.918847361535673,1.16279537547943
"3-1","5",3.68,1.98,2.4,5.75,0.375,2.355,6.035,8.15,14.185,0.740490797546012,0.98125
"3-2","1000",40.45,35.59,43.62,44.89,1.30997742663657,36.8999774266366,77.3499774266366,88.51,165.859977426637,0.873912297216547,0.845941710835318
"3-3","25",6.43,5.29,5.04,8.86,0.712755905511811,6.00275590551181,12.4327559055118,13.9,26.3327559055118,0.89444287090013,1.19102299712536
"3-4","20",4.94,7.17,2.2,5.94,0.667668539325843,7.83766853932584,12.7776685393258,8.14,20.9176685393258,1.56973814979433,3.56257660878448
"3-5","35",12.62,7.95,8.87,14.35,0.728029739776952,8.67802973977695,21.298029739777,23.22,44.5180297397769,0.91722780963725,0.978357355104504
"3-6","10",7.97,3.3,4.04,9.08,0.653582089552239,3.95358208955224,11.9235820895522,13.12,25.0435820895522,0.908809610484164,0.97860942810699
"3-7","15",2.89,3.03,2.96,4.69,0.508933333333333,3.53893333333333,6.42893333333333,7.65,14.0789333333333,0.840383442265795,1.19558558558559
"4-1","25",17.51,6.26,11.37,18.94,0.859050131926121,7.11905013192612,24.6290501319261,30.31,54.9390501319261,0.812571762848107,0.626125781172042
"4-2","10",5.43,4.37,2.53,7.20999999999999,0.527142857142857,4.89714285714286,10.3271428571429,9.73999999999999,20.0671428571429,1.06028160750953,1.9356295878035
"4-4","35",5.33,4.07,2.82,9.79,0.76355421686747,4.83355421686747,10.1635542168675,12.61,22.7735542168675,0.805991611171092,1.71402631803811
"4-5","5",3.13,1.67,1.33,5.38,0.49,2.16,5.29,6.71,12,0.788375558867362,1.62406015037594
"4-6","15",6.96,3.41,4.15,8.97,0.459166666666667,3.86916666666667,10.8291666666667,13.12,23.9491666666667,0.825393800813008,0.932329317269076
"4-7","20",3.87,3.53,4.79,8.78,0.492676056338028,4.02267605633803,7.89267605633803,13.57,21.462676056338,0.581626828027858,0.839807109882678
"4-8","1000",35.07,54.2,52.34,51.65,1.52608391608392,55.7260839160839,90.7960839160839,103.99,194.786083916084,0.873123222579901,1.06469399916095
"5-2","25",5.08,5.7,3.16,7.17,0.430375939849624,6.13037593984962,11.2103759398496,10.33,21.5403759398496,1.0852251635866,1.93999238602836
"5-3","10",3.29,2.01,2.13,4.38,0.383977272727273,2.39397727272727,5.68397727272727,6.51,12.1939772727273,0.873114788437369,1.12393299189074
"5-4","15",4.85,2.81,3.58,7.62,0.754886877828054,3.56488687782805,8.41488687782805,11.2,19.614886877828,0.751329185520362,0.99577845749387
"5-5","20",6.62,4.58,3.48,6.42,0.290212765957447,4.87021276595745,11.4902127659574,9.9,21.3902127659575,1.16062755211691,1.39948642699927
