"ID","volume","totalC","carbon_gain"
"1-1","10",13.1804773869346,30.9550080819804
"1-2","15",15.6918648648649,30.1457716548762
"1-4","20",13.7308009708738,31.8262997026376
"1-5","1000",97.102222222222,217.396483590793
"1-6","25",14.5088439306358,32.0242290956412
"1-7","35",45.0228313253012,75.1430173952796
"1-8","5",9.71916666666665,19.7817049825474
"2-1","20",15.5042857142857,56.7482937982563
"2-2","15",15.3839645776567,47.7656790120333
"2-3","1000",99.2565384615385,190.356680274463
"2-4","25",22.846012006861,64.5170845598486
"2-6","5",8.9159655172414,26.1452472549789
"2-7","35",12.1910084033613,29.8589649170109
"2-8","10",13.4031488203267,28.7456879883825
"3-1","5",7.0925,18.2055714653218
"3-2","1000",82.9299887133185,189.756568908612
"3-3","25",13.1663779527559,35.0860443747541
"3-4","20",10.4588342696629,24.9254168321895
"3-5","35",22.2590148698884,96.5587565743168
"3-6","10",12.5217910447761,25.0760902712368
"3-7","15",7.03946666666665,21.7932615118168
"4-1","25",27.4695250659631,66.2562193839821
"4-2","10",10.0335714285715,21.9128336425061
"4-4","35",11.3867771084337,52.9177107403901
"4-5","5",6,21.1139104834671
"4-6","15",11.9745833333333,46.1415125408754
"4-7","20",10.731338028169,18.371092156511
"4-8","1000",97.393041958042,178.150473156125
"5-2","25",10.7701879699248,28.3567095888595
"5-3","10",6.09698863636365,17.0451418130095
"5-4","15",9.807443438914,28.0224713667892
"5-5","20",10.6951063829788,19.1642285547745
"5-6","1000",120.838387096774,243.554375345819
"5-7","35",37.0463030303031,70.8107132011928
"5-8","5",3.50014285714285,9.28151352872039
"6-1","35",32.5462765957447,68.6040113146236
"6-3","5",10.3527848101266,25.5558625685341
"6-4","20",9.2578078817734,26.0447209597007
"6-5","10",8.73025,18.6906801187306
"6-6","15",13.798,33.7607848945176
"6-7","25",10.1456923076923,23.5629434431629
"6-8","1000",61.621366906475,127.982804100909
"7-1","15",15.3088863636364,39.1602581598823
"7-2","1000",51.7171246458925,109.926208722976
"7-3","25",7.6295054945055,25.2145816202881
"7-4","10",6.1668181818182,10.2408467226681
"7-5","20",11.6193542074364,27.6497544861462
"7-6","5",6.34198237885465,12.6481220193548
"7-8","35",22.3669413092551,55.46053101556
