"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"39",2,2,"2-2",6,0.29,15,2013-05-17,-0.23979737,0.013604364,427.2991148,12.38250256,19.98,0.076579151,-0.826887482758621
"40",2,2,"2-2",6,0.29,15,2013-05-17,-0.236861688,0.013613293,426.9402454,12.38005522,19.98,0.076592104,-0.81676444137931
"41",2,3,"2-3",6,0.37,1000,2013-05-17,-0.288568557,0.00274322,568.1430223,12.46582011,41.62,0.015854775,-0.779915018918919
"42",2,3,"2-3",6,0.37,1000,2013-05-17,-0.290100999,0.002791835,566.0756281,12.46414902,41.62,0.016124702,-0.784056754054054
"43",2,3,"2-3",6,0.37,1000,2013-05-17,-0.294615879,0.002815949,567.2229058,12.4720075,41.62,0.016283265,-0.796259132432433
"44",2,3,"2-3",6,0.37,1000,2013-05-17,-0.295020085,0.002878196,563.8564799,12.47274426,41.62,0.016637843,-0.797351581081081
"45",2,4,"2-4",6,0.6,25,2013-05-17,-0.229805917,0.007533494,448.2128594,12.56446514,46.47,0.042841784,-0.383009861666667
"46",2,4,"2-4",6,0.6,25,2013-05-17,-0.236156808,0.007554892,449.4478111,12.56055579,46.47,0.042926831,-0.39359468
"47",2,4,"2-4",6,0.6,25,2013-05-17,-0.240492883,0.007512782,450.6282369,12.55972398,46.47,0.042700375,-0.400821471666667
"48",2,4,"2-4",6,0.6,25,2013-05-17,-0.234598937,0.007519521,449.3058427,12.55766893,46.47,0.042729821,-0.390998228333333
"49",2,4,"2-4",6,0.6,25,2013-05-17,-0.241857346,0.007542073,450.7472706,12.55488839,46.47,0.042837568,-0.403095576666667
"50",2,7,"2-7",6,0.36,35,2013-05-17,-0.222902514,0.007499134,445.7953018,12.71181324,33.43,0.044865352,-0.61917365
"51",2,7,"2-7",6,0.36,35,2013-05-17,-0.230833624,0.00754224,447.2345974,12.71318469,33.43,0.045099749,-0.641204511111111
"52",2,7,"2-7",6,0.36,35,2013-05-17,-0.229896979,0.007537067,447.1052041,12.71373313,33.43,0.04506457,-0.638602719444444
"53",2,7,"2-7",6,0.36,35,2013-05-17,-0.229427641,0.007507291,447.2046727,12.71493662,33.43,0.04489086,-0.637299002777778
