"ID","Date","volume","Nperc_notnc"
"1-1","2013-03-07","10",1.25802551885902
"1-1","2013-03-22","10",1.25730491080639
"1-1","2013-04-08","10",1.24480098860464
"1-1","2013-04-17","10",1.25142357049185
"1-1","2013-05-16","10",1.39982278622179
"1-2","2013-03-22","15",1.50377357042714
"1-2","2013-04-08","15",1.73019578672915
"1-2","2013-04-17","15",1.56643899953363
"1-2","2013-05-01","15",1.41495080017232
"1-2","2013-05-16","15",1.40574166927724
"1-4","2013-03-07","20",1.3990525476166
"1-4","2013-03-22","20",1.33081185112794
"1-4","2013-04-08","20",1.70490569910777
"1-4","2013-04-17","20",1.74639487057091
"1-4","2013-05-01","20",1.67670976553267
"1-4","2013-05-16","20",1.88936393219638
"1-5","2013-03-07","1000",3.42910148994447
"1-5","2013-03-22","1000",2.45258026452263
"1-5","2013-04-08","1000",2.21809188548737
"1-5","2013-04-17","1000",1.78273537285304
"1-5","2013-05-01","1000",1.98848299541713
"1-5","2013-05-16","1000",1.92773844600999
"1-6","2013-03-07","25",1.44413970440632
"1-6","2013-03-22","25",1.40680703857962
"1-6","2013-04-08","25",1.40433228847425
"1-6","2013-04-17","25",1.33860559142258
"1-6","2013-05-01","25",1.26990017355207
"1-6","2013-05-16","25",1.40074738851713
"1-7","2013-03-07","35",3.60395037922744
"1-7","2013-03-22","35",2.45433351888092
"1-7","2013-04-08","35",2.24687035450504
"1-7","2013-04-17","35",1.86828477314372
"1-7","2013-05-01","35",1.26257109995002
"1-7","2013-05-16","35",1.41015528901497
"1-8","2013-03-07","05",1.47364764273707
"1-8","2013-03-22","05",1.2059032486707
"1-8","2013-04-08","05",1.39596667963081
"1-8","2013-04-17","05",1.40953741310095
"1-8","2013-05-01","05",1.56767986553789
"1-8","2013-05-16","05",1.48387706707264
"2-1","2013-03-07","20",2.47500546881942
"2-1","2013-03-22","20",1.85527453652782
"2-1","2013-04-08","20",1.62044235761898
"2-1","2013-04-17","20",1.52585816298727
"2-1","2013-05-01","20",1.39765099541954
"2-1","2013-05-16","20",1.63198198781406
"2-2","2013-03-07","15",1.62026700594305
"2-2","2013-03-22","15",1.32626999400182
"2-2","2013-04-08","15",1.47425718292116
"2-2","2013-04-17","15",1.26155621895615
"2-2","2013-05-01","15",1.14396791527851
"2-2","2013-05-16","15",1.08860591451042
"2-3","2013-03-07","1000",3.47850146769126
"2-3","2013-03-22","1000",3.37503959775497
"2-3","2013-04-08","1000",3.30132867962641
"2-3","2013-04-17","1000",2.48371730684217
"2-3","2013-05-01","1000",2.11678014869691
"2-3","2013-05-16","1000",1.87076179861596
"2-4","2013-03-07","25",2.85216784857765
"2-4","2013-03-22","25",1.56323275102823
"2-4","2013-04-08","25",1.34515450246346
"2-4","2013-04-17","25",1.20920192564224
"2-4","2013-05-01","25",1.16943261240227
"2-4","2013-05-16","25",1.25246722155917
"2-6","2013-03-07","05",1.67206134615183
"2-6","2013-03-22","05",1.27290688367719
"2-6","2013-04-08","05",1.18664044430371
"2-6","2013-04-17","05",1.14921240494613
"2-6","2013-05-16","05",1.58326936457528
"2-7","2013-03-07","35",1.89728041138454
"2-7","2013-03-22","35",2.62407831844442
"2-7","2013-04-08","35",1.81064218134424
"2-7","2013-04-17","35",1.53378466229436
"2-7","2013-05-01","35",1.35734875845462
"2-7","2013-05-16","35",1.31516819030769
"2-8","2013-03-07","10",1.36673020104633
"2-8","2013-03-22","10",1.21821066186663
"2-8","2013-04-08","10",1.23976796616061
"2-8","2013-04-17","10",1.1917503927015
"2-8","2013-05-01","10",1.37477665556459
"2-8","2013-05-16","10",1.38393983996411
"3-1","2013-03-07","05",1.34672433125531
"3-1","2013-04-08","05",1.07416127891911
"3-1","2013-04-17","05",1.13283759993509
"3-1","2013-05-01","05",1.31617995749744
"3-1","2013-05-16","05",1.35853713079226
"3-2","2013-03-07","1000",3.48024722754735
"3-2","2013-03-22","1000",3.42658522438463
"3-2","2013-04-08","1000",1.54523515988012
"3-2","2013-04-17","1000",2.72519484243542
"3-2","2013-05-01","1000",2.07255271551965
"3-2","2013-05-16","1000",2.69447630774642
"3-3","2013-03-07","25",1.28858970954565
"3-3","2013-03-22","25",1.23645792575489
"3-3","2013-04-08","25",1.12086409262077
"3-3","2013-04-17","25",1.44132585302915
"3-3","2013-05-01","25",1.64009601366363
"3-3","2013-05-16","25",1.59386997530989
"3-4","2013-03-07","20",1.18945809617774
"3-4","2013-03-22","20",1.38450527869134
"3-4","2013-04-08","20",1.57769936219762
"3-4","2013-04-17","20",1.67208569143205
"3-4","2013-05-16","20",1.95828809755264
"3-5","2013-03-07","35",2.28333750577426
"3-5","2013-03-22","35",1.55040529947685
"3-5","2013-04-17","35",1.45664077516763
"3-5","2013-05-01","35",1.37783020317319
"3-5","2013-05-16","35",1.47236856852736
"3-6","2013-03-07","10",1.88122706236804
"3-6","2013-03-22","10",1.41833693804631
"3-6","2013-04-08","10",1.37992190512058
"3-6","2013-04-17","10",1.87559543073715
"3-6","2013-05-01","10",1.32507837369972
"3-6","2013-05-16","10",1.57488026173164
"3-7","2013-03-07","15",1.3788341191748
"3-7","2013-03-22","15",1.99769429669073
"3-7","2013-04-08","15",2.8440176311655
"3-7","2013-04-17","15",2.27321697303932
"3-7","2013-05-01","15",2.13143698877949
"3-7","2013-05-16","15",1.90072426763572
"4-1","2013-03-07","25",2.55911402262676
"4-1","2013-03-22","25",1.48376990770945
"4-1","2013-04-08","25",1.25664654925578
"4-1","2013-04-17","25",1.31527820635461
"4-1","2013-05-01","25",1.21672596857115
"4-1","2013-05-16","25",1.28155198546944
"4-2","2013-03-07","10",1.38209349393167
"4-2","2013-03-22","10",1.16829748172467
"4-2","2013-04-08","10",1.25986236940195
"4-2","2013-04-17","10",1.29797937809486
"4-2","2013-05-01","10",1.42398710443051
"4-2","2013-05-16","10",1.49643751944697
"4-4","2013-03-07","35",2.16924397351728
"4-4","2013-03-22","35",1.93159127002006
"4-4","2013-04-08","35",1.89933131342636
"4-4","2013-04-17","35",2.26312226691815
"4-4","2013-05-01","35",2.21363124286741
"4-4","2013-05-16","35",2.04451486257491
"4-5","2013-03-07","05",1.56324181977392
"4-5","2013-03-22","05",1.28351430068124
"4-5","2013-04-08","05",1.30205329387879
"4-5","2013-04-17","05",1.20628732760891
"4-5","2013-05-01","05",1.38394969549148
"4-5","2013-05-16","05",1.62144210552451
"4-6","2013-03-07","15",2.46142246427536
"4-6","2013-04-08","15",1.54899975879773
"4-6","2013-04-17","15",1.42880535281931
"4-6","2013-05-16","15",1.84690029235235
"4-7","2013-03-07","20",1.23092292360854
"4-7","2013-03-22","20",1.48602041765281
"4-7","2013-04-17","20",1.77148711198083
"4-7","2013-05-01","20",2.18286434145766
"4-7","2013-05-16","20",2.42432124819669
"4-8","2013-03-07","1000",3.39173246694293
"4-8","2013-03-22","1000",3.15219631215073
"4-8","2013-04-08","1000",2.8254848323083
"4-8","2013-04-17","1000",2.21254082972366
"4-8","2013-05-01","1000",1.93300599047239
"4-8","2013-05-16","1000",1.87658642058236
"5-2","2013-03-07","25",1.24404286299384
"5-2","2013-03-22","25",1.20374833048513
"5-2","2013-04-08","25",1.55320894136912
"5-2","2013-04-17","25",1.63496510542003
"5-2","2013-05-16","25",2.09048819067063
"5-3","2013-03-07","10",1.81512963115015
"5-3","2013-03-22","10",1.71202638860311
"5-3","2013-04-08","10",1.61851126805077
"5-3","2013-04-17","10",1.59867694505407
"5-3","2013-05-01","10",1.67524433110512
"5-3","2013-05-16","10",1.88090322649527
"5-4","2013-04-08","15",1.64185586203373
"5-4","2013-04-17","15",1.98714831460554
"5-4","2013-05-01","15",1.99525203062887
"5-4","2013-05-16","15",1.97075513644221
"5-5","2013-03-07","20",1.1118367568885
"5-5","2013-03-22","20",1.09183032855735
"5-5","2013-04-08","20",1.5840355333284
"5-5","2013-04-17","20",1.6549829462321
"5-5","2013-05-01","20",1.78372687852745
"5-5","2013-05-16","20",2.03839422015225
"5-6","2013-03-07","1000",3.19757052972059
"5-6","2013-03-22","1000",3.25243854475965
"5-6","2013-04-08","1000",2.61284810563787
"5-6","2013-04-17","1000",2.08417880798161
"5-6","2013-05-01","1000",2.46820937750911
"5-6","2013-05-16","1000",2.39419437623348
"5-7","2013-03-07","35",2.9973557473628
"5-7","2013-03-22","35",2.02191962140468
"5-7","2013-04-08","35",1.80639144813708
"5-7","2013-04-17","35",1.72332949577496
"5-7","2013-05-01","35",1.71388018369358
"5-7","2013-05-16","35",1.61508982698417
"5-8","2013-03-22","05",1.44808763272221
"5-8","2013-04-08","05",1.27664905546474
"5-8","2013-04-17","05",1.30030495855847
"5-8","2013-05-16","05",1.39098358335086
"6-1","2013-03-07","35",2.1386874426608
"6-1","2013-03-22","35",1.75463564812847
"6-1","2013-04-08","35",1.35201527883391
"6-1","2013-04-17","35",1.38750360601131
"6-1","2013-05-01","35",1.31025173314826
"6-1","2013-05-16","35",1.35083512416592
"6-3","2013-03-07","05",1.2523825394739
"6-3","2013-03-22","05",1.39940988104204
"6-3","2013-04-08","05",1.19886068422275
"6-3","2013-04-17","05",1.02914198249892
"6-3","2013-05-01","05",1.16691097101725
"6-3","2013-05-16","05",1.1601979663954
"6-4","2013-03-07","20",1.17620769150801
"6-4","2013-03-22","20",1.307856187851
"6-4","2013-04-08","20",1.53708889684455
"6-4","2013-04-17","20",1.69915824552962
"6-4","2013-05-01","20",2.15122662406108
"6-4","2013-05-16","20",2.25756246994889
"6-5","2013-03-07","10",1.25018710870667
"6-5","2013-03-22","10",1.33758490021508
"6-5","2013-04-08","10",1.38276352684125
"6-5","2013-04-17","10",1.38921984377741
"6-5","2013-05-01","10",1.58544949694696
"6-5","2013-05-16","10",1.55543689823019
"6-6","2013-03-07","15",1.95960391362545
"6-6","2013-03-22","15",1.66609431768896
"6-6","2013-04-08","15",1.21798435722269
"6-6","2013-04-17","15",1.33609951306477
"6-6","2013-05-01","15",1.39530709430992
"6-6","2013-05-16","15",1.39296272214455
"6-7","2013-03-07","25",1.55103392779408
"6-7","2013-03-22","25",1.42760808701455
"6-7","2013-04-08","25",1.64404579499476
"6-7","2013-04-17","25",1.64426522685196
"6-7","2013-05-01","25",2.17227197516651
"6-7","2013-05-16","25",2.00807589489109
"6-8","2013-03-07","1000",3.2165403428029
"6-8","2013-03-22","1000",3.58363116238284
"6-8","2013-04-08","1000",3.19545055045696
"6-8","2013-04-17","1000",2.28059760981782
"6-8","2013-05-01","1000",2.59997340935751
"6-8","2013-05-16","1000",2.97687303093322
"7-1","2013-03-07","15",1.70381285445743
"7-1","2013-04-08","15",1.19994676465937
"7-1","2013-04-17","15",1.10165326988202
"7-1","2013-05-01","15",1.20783787729999
"7-1","2013-05-16","15",1.33348292753749
"7-2","2013-03-07","1000",3.26354241560789
"7-2","2013-03-22","1000",3.44694527736027
"7-2","2013-04-08","1000",3.34573832389418
"7-2","2013-04-17","1000",2.98872040843876
"7-2","2013-05-01","1000",3.16593208441545
"7-2","2013-05-16","1000",2.54584341249896
"7-3","2013-03-22","25",1.23863787093326
"7-3","2013-04-08","25",3.02114435297681
"7-3","2013-04-17","25",1.97417979175973
"7-3","2013-05-01","25",2.02979982534088
"7-3","2013-05-16","25",1.91254066225074
"7-4","2013-03-07","10",1.24764015542594
"7-4","2013-03-22","10",1.95348155670722
"7-4","2013-04-08","10",2.00481386435311
"7-4","2013-04-17","10",1.87315387087067
"7-4","2013-05-01","10",1.94902095298348
"7-4","2013-05-16","10",1.98165381291066
"7-5","2013-03-07","20",1.16424409267787
"7-5","2013-03-22","20",1.66301950554142
"7-5","2013-04-08","20",2.0029300202299
"7-5","2013-04-17","20",2.2066976722562
"7-5","2013-05-01","20",1.96962349714062
"7-5","2013-05-16","20",1.7738229809675
"7-6","2013-03-07","05",1.10156887646932
"7-6","2013-03-22","05",1.29249219640388
"7-6","2013-04-08","05",1.06105260692075
"7-6","2013-04-17","05",1.20763605491652
"7-6","2013-05-16","05",1.36396689123768
"7-8","2013-03-07","35",1.7625359027052
"7-8","2013-03-22","35",1.30553756360908
"7-8","2013-04-08","35",1.13210061169391
"7-8","2013-04-17","35",1.12296747070855
"7-8","2013-05-01","35",1.16452714371784
"7-8","2013-05-16","35",1.1052309096105
