"volume","SRL.mean","SRL.se"
"5",0.390921697069801,0.0547211249494278
"10",0.342140794662585,0.0582821017126608
"15",0.375783058851971,0.046349556607004
"20",0.452794936133753,0.0550418888954245
"25",0.469748056499937,0.0710120396760209
"35",0.506358005813617,0.1161082607671
"1000",0.43671464529222,0.062411613045668
