"plant_id","M","totPARleaf","volume"
"euchae3",0.92609559980603,2.5057914201716,"10"
"euchae1",0.936713572777926,0.58212289833256,"10"
"euchae2",0.913305576435245,5.53864249342375,"10"
"euchaeR90",0.938185263163457,3.07034993698251,"10"
"euchaeR50",0.935440686921868,1.46614593440656,"10"
"euchaeR70",0.926481614498025,3.14540420165441,"10"
"euchaeR91",0.926039208302123,2.10233546122769,"10"
"euchaeR71",0.91691809031233,1.72290735559345,"10"
"10nd",0.84895070772459,75.5158170343276,"10"
"11nd",0.805506734238561,78.8790160467403,"10"
"12nd",0.850492733838144,59.1300736409169,"10"
"7d",0.884274695901649,44.9520826384261,"10"
"33d",0.867001596066024,38.0004556889878,"10"
"8d",0.830529530628604,54.1440361069408,"10"
"35nd",0.868619686534831,57.1011360524219,"10"
"36nd",0.889462981127528,32.268785357824,"10"
"46nd",0.852413725312489,53.6518588570418,"10"
"9d",0.889976345739473,38.8780442654048,"10"
"44d",0.910555929728085,29.7365910896522,"10"
"45d",0.913803399860596,26.4923532516618,"10"
"21d",0.869228037735576,42.1958065129425,"10"
"47nd",0.871736723468031,63.618871312446,"10"
"23nd",0.883280652145077,66.0279486252193,"10"
"20d",0.899600984948444,36.9710132353437,"10"
"19d",0.871150301582167,48.1421600151189,"10"
"22nd",0.806168967110485,88.5222602651054,"10"
"43d",0.872580681366937,42.7777002378526,"10"
"24nd",0.837547819409935,78.7877019765899,"10"
"31d",0.915190109754282,17.2260267937763,"10"
"32d",0.885387291325171,40.8441768921439,"10"
"34nd",0.870402665060112,55.0542044418968,"10"
"esalroomot50",0.887380862035033,10.1998769689868,"10"
"Esal-ch7-tree37",0.840399676087216,22.4273581881814,"10"
"esalroomot41",0.907970695990868,8.75654355359907,"10"
"esal-ch2-tree48",0.832664111459138,16.2249303590275,"10"
"esalroomot392",0.897346782676982,10.0245336358395,"10"
"esal-ch10-tree1S",0.880686062611096,9.57556202817996,"10"
"esalroomot591",0.914095984318648,16.5144028517766,"10"
"esalroomot131",0.897362053181854,7.99317151885702,"10"
"esalroomot151",0.907775827867795,8.92435424101491,"10"
"esal-ref",0.836736153387147,15.5790280843823,"10"
"esalroomot588_fix",0.883948815579127,14.7287299689515,"10"
"Esal-ch12-tree46_fix",0.883826378412422,5.25157436913905,"10"
"esalroomot360",0.897609855681284,16.2685822344829,"10"
"Esal-ch1-tree54",0.826062270153624,12.4516721208952,"10"
"esalroomot251",0.884544425750212,10.5685668776875,"10"
"esalroomot460",0.880291528700874,11.4818253961586,"10"
"esalroomot259",0.894726188319665,11.9126406122117,"10"
"esalroomot449",0.840515578972387,13.655638597921,"10"
"Ambtr1",0.830463772192214,34.5663647395618,"10"
"Eletr5",0.87271648473366,47.0497799714074,"10"
"Eletr4",0.890014322503398,54.0584783275011,"10"
"Ambtr2",0.858367351207638,40.1773529784835,"10"
"Eletr8",0.836975973523458,38.8082595070983,"10"
"Eletr1",0.826115385138003,67.5239699378583,"10"
"Eletr2",0.825901646540105,55.8220726700182,"10"
"Eletr3",0.829730031522586,48.0694862907612,"10"
"Ambtr3",0.83623712172504,29.7890998193905,"10"
"Eletr6",0.845250346579038,24.6250732946414,"10"
"Eletr7",0.858087345774058,67.122145748471,"10"
"Ambtr4",0.850706472153538,32.4976420119938,"10"
"euchae3",0.915800186014797,2.5057914201716,"15"
"euchae1",0.92807402146242,0.58212289833256,"15"
"euchae2",0.90227872108824,5.53864249342375,"15"
"euchaeR90",0.93033087003521,3.07034993698251,"15"
"euchaeR50",0.926936408758245,1.46614593440656,"15"
"euchaeR70",0.9172575576839,3.14540420165441,"15"
"euchaeR91",0.91662073442579,2.10233546122769,"15"
"euchaeR71",0.905508355614723,1.72290735559345,"15"
"10nd",0.832657206767243,75.5158170343276,"15"
"11nd",0.786445019857895,78.8790160467403,"15"
"12nd",0.834276786824629,59.1300736409169,"15"
"7d",0.871366337874979,44.9520826384261,"15"
"33d",0.852053188771437,38.0004556889878,"15"
"8d",0.812265785478249,54.1440361069408,"15"
"35nd",0.853382730758955,57.1011360524219,"15"
"36nd",0.876748308355418,32.268785357824,"15"
"46nd",0.835186387013491,53.6518588570418,"15"
"9d",0.877313722620793,38.8780442654048,"15"
"44d",0.900247688199125,29.7365910896522,"15"
"45d",0.903736179366048,26.4923532516618,"15"
"21d",0.854099732526015,42.1958065129425,"15"
"47nd",0.857134819499129,63.618871312446,"15"
"23nd",0.869577025295035,66.0279486252193,"15"
"20d",0.887698886378979,36.9710132353437,"15"
"19d",0.856256062051466,48.1421600151189,"15"
"22nd",0.785831725561422,88.5222602651054,"15"
"43d",0.857687379188111,42.7777002378526,"15"
