"pot","plot","ID","Date","diameter","volume","predmass"
1,1,"1-1",2013-01-21,3.2,"10",3.68289499747209
1,1,"1-1",2013-04-08,6.3,"10",22.045223188633
1,1,"1-1",2013-02-25,5.3,"10",13.9645147386438
1,1,"1-1",2013-03-11,5.7,"10",16.9237577954479
1,1,"1-1",2013-05-13,6.4,"10",22.9816561665048
1,1,"1-1",2013-04-02,5.9,"10",18.5378778491817
1,1,"1-1",2013-04-15,6.5,"10",23.9424190895429
1,1,"1-1",2013-03-04,5.3,"10",13.9645147386438
1,1,"1-1",2013-05-06,6.4,"10",22.9816561665048
1,1,"1-1",2013-01-29,3.5,"10",4.66653100740254
1,1,"1-1",2013-04-29,6.4,"10",22.9816561665048
1,1,"1-1",2013-03-18,5.8,"10",17.7193973969837
1,1,"1-1",2013-03-25,6,"10",19.3794510373016
1,1,"1-1",2013-02-11,4.6,"10",9.60553609895979
1,1,"1-1",2013-02-03,3.8,"10",5.79881573496304
1,1,"1-1",2013-05-21,6.4,"10",22.9816561665048
1,1,"1-1",2013-02-18,4.4,"10",8.54133347451163
1,1,"1-1",2013-04-22,6.4,"10",22.9816561665048
1,2,"2-1",2013-05-13,7.7,"20",37.4565559032345
1,2,"2-1",2013-04-22,7.4,"20",33.7238353711506
1,2,"2-1",2013-05-06,7.5,"20",34.9410628750699
1,2,"2-1",2013-02-03,3.1,"20",3.38662110108745
1,2,"2-1",2013-01-29,3.2,"20",3.68289499747209
1,2,"2-1",2013-04-29,7.4,"20",33.7238353711506
1,2,"2-1",2013-03-18,6.1,"20",20.2443673208353
1,2,"2-1",2013-03-25,6.7,"20",25.937906320899
1,2,"2-1",2013-04-08,7.2,"20",31.3692634894786
1,2,"2-1",2013-02-25,4.1,"20",7.08780605769028
1,2,"2-1",2013-03-04,5.2,"20",13.2792451139603
1,2,"2-1",2013-01-21,2.8,"20",2.58821002370055
1,2,"2-1",2013-02-18,3.9,"20",6.21067629527255
1,2,"2-1",2013-04-15,7.4,"20",33.7238353711506
1,2,"2-1",2013-04-02,7,"20",29.1196493997441
1,2,"2-1",2013-02-11,3.6,"20",5.02703994624052
1,2,"2-1",2013-05-21,7.7,"20",37.4565559032345
1,2,"2-1",2013-03-11,6.2,"20",21.132875567955
1,3,"3-1",2013-02-11,3.6,"5",5.02703994624052
1,3,"3-1",2013-02-18,3.4,"5",4.3225406618375
1,3,"3-1",2013-02-25,4.2,"5",7.55365260198905
1,3,"3-1",2013-03-04,4.6,"5",9.60553609895979
1,3,"3-1",2013-04-22,5.7,"5",16.9237577954479
1,3,"3-1",2013-04-29,5.7,"5",16.9237577954479
1,3,"3-1",2013-05-21,5.7,"5",16.9237577954479
1,3,"3-1",2013-03-11,4.5,"5",9.06373036568407
1,3,"3-1",2013-04-02,5,"5",11.9723283472414
1,3,"3-1",2013-05-13,5.7,"5",16.9237577954479
1,3,"3-1",2013-04-08,5.4,"5",14.6713415922602
1,3,"3-1",2013-01-29,3.1,"5",3.38662110108745
1,3,"3-1",2013-02-03,3.2,"5",3.68289499747209
1,3,"3-1",2013-01-21,2.8,"5",2.58821002370055
1,3,"3-1",2013-04-15,5.5,"5",15.3999857578734
1,3,"3-1",2013-03-25,4.9,"5",11.3501520261852
1,3,"3-1",2013-05-06,5.7,"5",16.9237577954479
1,3,"3-1",2013-03-18,4.6,"5",9.60553609895979
1,4,"4-1",2013-02-18,3.6,"25",5.02703994624052
1,4,"4-1",2013-05-21,9.4,"25",63.4433245993244
1,4,"4-1",2013-03-18,6.9,"25",28.0336147696652
1,4,"4-1",2013-03-11,6,"25",19.3794510373016
1,4,"4-1",2013-04-22,8.8,"25",53.2988285708441
1,4,"4-1",2013-04-02,7.9,"25",40.081626725869
1,4,"4-1",2013-02-25,4.5,"25",9.06373036568407
1,4,"4-1",2013-04-08,8.3,"25",45.6677561051447
1,4,"4-1",2013-03-04,5.3,"25",13.9645147386438
1,4,"4-1",2013-04-15,8.7,"25",51.7137987364851
1,4,"4-1",2013-01-21,3.2,"25",3.68289499747209
1,4,"4-1",2013-02-03,3.2,"25",3.68289499747209
1,4,"4-1",2013-05-13,9.4,"25",63.4433245993244
1,4,"4-1",2013-05-06,9.4,"25",63.4433245993244
1,4,"4-1",2013-04-29,9,"25",56.5586406870235
1,4,"4-1",2013-03-25,8,"25",41.4358224875133
1,4,"4-1",2013-01-29,3,"25",3.10562836559433
1,6,"6-1",2013-04-02,8.5,"35",48.6324013261021
1,6,"6-1",2013-03-18,7,"35",29.1196493997441
1,6,"6-1",2013-02-25,5.2,"35",13.2792451139603
1,6,"6-1",2013-05-06,9.8,"35",70.8261548272185
1,6,"6-1",2013-03-11,6.8,"35",26.9731130874682
1,6,"6-1",2013-04-22,9.1,"35",58.2338563935121
