"pfile","lfile","totPARleaf","totPARdir","totPARdiff","totPARinc","totA","totA0","totE"
"yplant/euc_plfiles/euchae3.p","yplant/euc_plfiles/euchae.l",5.32653985268475,3.49799513112935,1.82854472155539,12.4928313843118,0.0585163703003014,0.061371193525114,0.0153967623549668
"yplant/euc_plfiles/euchae1.p","yplant/euc_plfiles/euchae.l",1.23163141243996,0.798489304771127,0.433142107668838,2.72761395296184,0.0128160856660399,0.0133994383354309,0.00336636174657243
"yplant/euc_plfiles/euchae2.p","yplant/euc_plfiles/euchae.l",11.9152666315613,8.06144816381762,3.85381846774372,27.2171633304522,0.126091663748555,0.133704662023647,0.0333270542363018
"yplant/euc_plfiles/euchaeR90.p","yplant/euc_plfiles/euchae.l",6.65497620533951,4.57262444986415,2.08235175547536,13.8083661124645,0.0648608823799727,0.0678337746571905,0.0170594577792062
"yplant/euc_plfiles/euchaeR50.p","yplant/euc_plfiles/euchae.l",3.12535612805541,2.0689790571908,1.05637707086462,6.82343122254846,0.0320800794133054,0.0335201929156106,0.00843626884502104
"yplant/euc_plfiles/euchaeR70.p","yplant/euc_plfiles/euchae.l",6.7552479148421,4.54391431587017,2.21133359897192,15.0092439344689,0.0700152735841174,0.0737331022753314,0.0184494474500642
"yplant/euc_plfiles/euchaeR91.p","yplant/euc_plfiles/euchae.l",4.46354008774025,2.92710729582747,1.53643279191278,10.3602397263946,0.0482825036915396,0.0508948098037715,0.012737091682592
"yplant/euc_plfiles/euchaeR71.p","yplant/euc_plfiles/euchae.l",3.64242608231294,2.36046699884493,1.28195908346802,8.43052429226322,0.0391256894899529,0.0414150581195219,0.0103363044382803
"yplant/euc_plfiles/10nd.p","yplant/euc_plfiles/10nd_leaf.l",164.438045666043,114.309177288139,50.1288683779041,425.590602527898,1.87439819467853,2.09071926344968,0.504320262822198
"yplant/euc_plfiles/11nd.p","yplant/euc_plfiles/11nd_leaf.l",171.48159629654,118.74409231112,52.7375039854206,500.043548844012,2.11738316362051,2.45647031189649,0.57733329498528
"yplant/euc_plfiles/12nd.p","yplant/euc_plfiles/12nd_leaf.l",128.363950961835,88.5868219856702,39.7771289761651,344.688659495793,1.51845563624183,1.69328743637676,0.408886516885478
"yplant/euc_plfiles/7d.p","yplant/euc_plfiles/7d_leaf.l",97.9789703625958,68.1942498223443,29.7847205402515,227.174847967562,1.0270429983552,1.11599933832163,0.274044209491991
"yplant/euc_plfiles/33d.p","yplant/euc_plfiles/33d_leaf.l",82.3571989711495,56.645628201723,25.7115707694265,210.109623072836,0.939692760855697,1.0321662033544,0.251658275249372
"yplant/euc_plfiles/8d.p","yplant/euc_plfiles/8d_leaf.l",116.218648148832,78.207958137481,38.0106900113505,345.473997789544,1.49977208994276,1.69714542076203,0.40587798834722
"yplant/euc_plfiles/35nd.p","yplant/euc_plfiles/35nd_leaf.l",123.560386719022,84.6753756441804,38.885011074842,315.366394276813,1.41235965882151,1.54924143447453,0.378082998061661
"yplant/euc_plfiles/36nd.p","yplant/euc_plfiles/36nd_leaf.l",70.2013677220166,48.6738852122549,21.5274825097617,163.225754195882,0.74212898832369,0.801848599479034,0.197591305869166
"yplant/euc_plfiles/46nd.p","yplant/euc_plfiles/46nd_leaf.l",115.413482661584,78.0935989664435,37.3198836951404,331.545777068212,1.4695896940933,1.62872285881,0.394954491003622
"yplant/euc_plfiles/9d.p","yplant/euc_plfiles/9d_leaf.l",84.4790796024141,58.4937756618492,25.9853039405649,195.699097563936,0.889000731625642,0.961374312981502,0.236780058696682
"yplant/euc_plfiles/44d.p","yplant/euc_plfiles/44d_leaf.l",64.8787938931538,45.3204375152015,19.5583563779523,136.938485829918,0.631286953861842,0.672712058329519,0.16723531584609
"yplant/euc_plfiles/45d.p","yplant/euc_plfiles/45d_leaf.l",57.6852912682373,40.0816788464223,17.603612421815,122.218814231432,0.564429650976724,0.600401483848282,0.14940979887932
"yplant/euc_plfiles/21d.p","yplant/euc_plfiles/21d_leaf.l",91.4558643708103,62.8920093896615,28.5638549811488,232.064984089277,1.04021763633339,1.14002219439465,0.278332021393309
"yplant/euc_plfiles/47nd.p","yplant/euc_plfiles/47nd_leaf.l",137.369552815368,93.6864142791558,43.6831385362125,347.202248611951,1.557347474159,1.70563547497144,0.416642915182043
"yplant/euc_plfiles/23nd.p","yplant/euc_plfiles/23nd_leaf.l",143.471827598343,99.2889895312156,44.1828380671271,348.645538683164,1.57827808549573,1.71272565585586,0.42086341542862
"yplant/euc_plfiles/20d.p","yplant/euc_plfiles/20d_leaf.l",79.9830411571831,54.8391221748733,25.1439189823098,182.064586238166,0.833477721910908,0.894394602181512,0.221248528174623
"yplant/euc_plfiles/19d.p","yplant/euc_plfiles/19d_leaf.l",104.023540676277,71.072579364374,32.9509613119031,262.456633838427,1.17750579746082,1.28932156144165,0.314896082218058
"yplant/euc_plfiles/22nd.p","yplant/euc_plfiles/22nd_leaf.l",190.750937928421,129.48312959231,61.2678083361111,602.940790942333,2.57101640048899,2.96195432618861,0.700109602520809
"yplant/euc_plfiles/43d.p","yplant/euc_plfiles/43d_leaf.l",92.694464602591,63.6642718076383,29.0301927949527,234.986760106566,1.05676377160457,1.15437545634768,0.282462275637601
"yplant/euc_plfiles/24nd.p","yplant/euc_plfiles/24nd_leaf.l",170.073947808295,115.91016885084,54.1637789574553,491.795142194844,2.15329650800245,2.41594990902163,0.58106063966107
"yplant/euc_plfiles/31d.p","yplant/euc_plfiles/31d_leaf.l",37.7001920192577,26.4583489253737,11.241843093884,76.4970799015454,0.353761229177231,0.37579288075875,0.0935602053397142
"yplant/euc_plfiles/32d.p","yplant/euc_plfiles/32d_leaf.l",88.7171188341374,61.2929532543773,27.4241655797601,209.879513802183,0.950853682550596,1.03103578862721,0.253335097653103
"yplant/euc_plfiles/34nd.p","yplant/euc_plfiles/34nd_leaf.l",118.933618034573,81.1722642754504,37.761353759123,301.598137813712,1.35041410902035,1.48160469898145,0.361528862320828
"yplant/euc_plfiles/esalroom2pot50.p","yplant/euc_plfiles/leafpot50_true.lf",22.4957478194347,16.0827398860826,6.41300793335213,47.4489017319874,0.214615158112278,0.233093334982871,0.057272178930092
"yplant/euc_plfiles/Esal-ch7-tree37.p","yplant/euc_plfiles/ch7tree37.lf",49.2729007484105,34.860016650925,14.4128840974855,122.114548272228,0.530867570779384,0.599889275993746,0.14375874872032
"yplant/euc_plfiles/esalroom2pot41.p","yplant/euc_plfiles/leafpot41_true.lf",19.2134917069065,13.565527452923,5.64796425398352,38.9289344753363,0.17889585226532,0.191238887159923,0.0474569292807041
"yplant/euc_plfiles/esal-ch2-tree48.p","yplant/euc_plfiles/ch2tree48.lf",35.547288618683,24.9812535988683,10.5660350198147,90.0911472031777,0.389447199805118,0.442573909774284,0.105693042387217
"yplant/euc_plfiles/esalroom5pot392.p","yplant/euc_plfiles/leafpot392_true.lf",21.9769767672739,15.5015486197296,6.47542814754426,46.0884329095601,0.210004923608303,0.226410014539523,0.055869554874153
"yplant/euc_plfiles/esal-ch10-tree1S.p","yplant/euc_plfiles/ch10tree1S.lf",21.0725720520948,14.9685984297795,6.10397362231537,46.9203391634258,0.211482300472378,0.230496764622844,0.0564563265347577
"yplant/euc_plfiles/esalroom7pot591.p","yplant/euc_plfiles/leafpot591_true.lf",35.8255656765663,24.6734542539013,11.152111422665,75.7896657964961,0.350759492797847,0.372317699944423,0.0927095264880188
"yplant/euc_plfiles/esalroom3pot131.p","yplant/euc_plfiles/leafpot131_true.lf",17.455302805972,12.2193194812478,5.23598332472419,37.8075612037939,0.172438018044973,0.18573012666003,0.0458543464871174
"yplant/euc_plfiles/esalroom3pot151.p","yplant/euc_plfiles/leafpot151_true.lf",19.597677352032,13.8596461234976,5.73803122853437,40.5355083817311,0.186272672758202,0.199131201967403,0.0493897627107072
"yplant/euc_plfiles/esal-ref.p","yplant/euc_plfiles/ch11tree45.lf",34.4849222741323,24.8171802372136,9.66774203691869,83.7461159074897,0.364143014372565,0.411403862601505,0.0984815180309303
"yplant/euc_plfiles/esalroom7pot588_fix.p","yplant/euc_plfiles/leafpot588_true.lf",32.4109111383074,23.068911391112,9.34199974719545,71.2253611888243,0.322131391383364,0.349895495340209,0.0858593302011599
"yplant/euc_plfiles/Esal-ch12-tree46_fix.p","yplant/euc_plfiles/ch12tree46.lf",11.4660572278893,8.0066678251133,3.45938940277604,24.7991896856942,0.111694592964515,0.121826335651819,0.0298428513563102
"yplant/euc_plfiles/esalroom5pot360.p","yplant/euc_plfiles/leafpot360_true.lf",35.2343621965589,24.2139541876329,11.020408008926,80.8975353436783,0.369774396098611,0.397410174247311,0.0981677938858368
"yplant/euc_plfiles/Esal-ch1-tree54.p","yplant/euc_plfiles/ch1tree54.lf",27.4397552026379,19.55662278298,7.88313241965788,69.8193045250385,0.301114713879265,0.342988224044701,0.081680042443837
"yplant/euc_plfiles/esalroom4pot251.p","yplant/euc_plfiles/leafpot251_true.lf",23.2799059087451,16.5944733822409,6.68543252650417,49.5412935401366,0.223887920395387,0.243372236429468,0.0596433585516501
"yplant/euc_plfiles/esalroom6pot460.p","yplant/euc_plfiles/leafpot460_true.lf",24.818801515219,16.9484145682706,7.87038694694844,59.0076976835463,0.265596884251863,0.289876067530694,0.0709333883164791
"yplant/euc_plfiles/esalroom4pot259.p","yplant/euc_plfiles/leafpot259_true.lf",25.7453748495903,17.5861103656513,8.15926448393895,59.2968865422237,0.270711928473759,0.291296711487634,0.0719112676631759
"yplant/euc_plfiles/esalroom6pot449.p","yplant/euc_plfiles/leafpot449_true.lf",29.7833754023624,20.7634448402684,9.01993056209398,77.1246834362171,0.336786047772809,0.37887599112809,0.0908295198358695
