"volume","r2","intercept","b","p"
"10",0.57965179859888,0.923773727047385,-8.76166480315078e-05,1.05812917868113e-12
"15",0.575336277261092,0.91401463556652,-9.52576408195191e-05,1.43527552752186e-12
"20",0.548886273387346,0.881358872882817,-0.000100785081154243,8.7236524968156e-12
"25",0.561520623023179,0.893825688911657,-0.00010130256683433,3.73330894275845e-12
"35",0.573579077716299,0.908498004760323,-9.86507078948844e-05,1.62355591091843e-12
"5",0.551303846888496,0.869926664902649,-0.000113430149101794,7.42939613874266e-12
"free",0.56111086709065,0.89586641139934,-9.84269679354859e-05,3.83893319413777e-12
