"pfile","lfile","crownvol","crownsurf","crownproj","nleavesp","leaflen","meanleafang","wmeanleafang","Xellipsoid","Ek","Ek2","Ok","disp","disp2","stemsurf","stemvol","stemdiam","meanpath","sdpath","totlen","cw","cl","htot","cshape","LA","meanleafsize","STARbar","ALAC"
"yplant/euc_plfiles/euchae3.p","yplant/euc_plfiles/euchae.l",0.041341407939874,0.72791880079814,0.109728302316904,34,11.4967647058824,69.2941176470588,70.8964435404268,0.573998362486147,0.0950034178993768,0.107444638511608,0.102234123452137,1.07610995175372,0.951505118062184,6.1436985933602,0.0153592464834005,0.1,428.502941176471,174.060202899777,1582.9,0.480720664495788,0.684519932705216,0.512520123720476,2.21209638605257,0.0877642719450339,25.8130211603041,NA,0.120568766528359
"yplant/euc_plfiles/euchae1.p","yplant/euc_plfiles/euchae.l",0.0067269344312239,0.203318895240933,0.049171023751977,15,8.18,69.1333333333333,72.8733096698766,0.624962521701061,0.0681311563196821,0.0817801169419888,0.0864598435893778,1.2690206398919,1.05722328143293,3.07247761521082,0.00768119403802705,0.1,297.053333333333,72.4613874188638,689.5,0.311747195763494,0.260057356017366,0.264513813177087,2.5078759048465,0.0191619533926815,12.774635595121,NA,0.0942458071591163
"yplant/euc_plfiles/euchae2.p","yplant/euc_plfiles/euchae.l",0.11007179688311,1.2298493145316,0.317500245148284,117,9.09880341880342,63.8547008547009,65.984592991857,0.759309852140336,0.0872168732095009,0.0911650674430527,0.0822181064326941,0.942685783233716,0.901859766451142,20.4564805638499,0.0511412014096249,0.1,492.987179487179,127.549274818132,5636.4,0.744591134715187,0.634176978952452,0.521625980811336,2.60449524879733,0.191205216065421,16.3423261594377,NA,0.155470441627431
"yplant/euc_plfiles/euchaeR90.p","yplant/euc_plfiles/euchae.l",0.0505100618673764,0.811305577296852,0.187454528603694,47,10.2387234042553,65.1914893617021,65.6229851482849,0.723495506594829,0.0911724857149955,0.0983127594994951,0.0997495891069787,1.09407556813571,1.01461488432222,8.76253022939265,0.0219063255734816,0.1,472.431914893617,151.859818234053,2083.6,0.642128756431096,0.611904426071103,0.655188931241874,2.06480359465288,0.0970061278608768,20.639601672527,NA,0.119567929243241
"yplant/euc_plfiles/euchaeR50.p","yplant/euc_plfiles/euchae.l",0.0191086647423335,0.422253070581449,0.06789606147347,24,9.6875,71.4166666666667,74.2644789820167,0.525534971744741,0.082498011585419,0.0947907998613205,0.094996980141524,1.151506300769,1.00217510856017,4.20313681123778,0.0105078420280945,0.1,426.625,152.412219212297,1229.3,0.360849799790904,0.595357538315462,0.491524997458259,1.96547937457745,0.0479357685212981,19.9732368838742,NA,0.113523789075802
"yplant/euc_plfiles/euchaeR70.p","yplant/euc_plfiles/euchae.l",0.0447479200235549,0.707648352570282,0.162697943942098,46,10.640652173913,65.8260869565217,70.9095913296201,0.686072737781301,0.088194625787628,0.096054224747427,0.0885611516299363,1.00415587502113,0.921991217594088,7.46002591521432,0.0186500647880358,0.1,301.282608695652,140.340863304468,1646.5,0.493971552531763,0.567453899624024,0.40725688710339,2.52455581059309,0.105442499448786,22.9222824888666,NA,0.149004090895999
"yplant/euc_plfiles/euchaeR91.p","yplant/euc_plfiles/euchae.l",0.017180077002115,0.380474162576639,0.0805982383655073,21,12.9666666666667,77.4285714285714,77.3944368374126,0.361056111653022,0.0832477271455933,0.094865048923186,0.0969870862759274,1.16504185281005,1.0223690113148,3.25531830764974,0.00813829576912436,0.1,317.619047619048,115.001415726275,911.9,0.41564607186671,0.385874443817826,0.336660553901499,2.37222278431211,0.0727824516950468,34.6583103309747,NA,0.191294071592539
"yplant/euc_plfiles/euchaeR71.p","yplant/euc_plfiles/euchae.l",0.0178148181579841,0.392795674653859,0.0902488366127524,20,11.8345,67.75,71.4342693609751,0.623241217288089,0.0856421537858454,0.0957453921808741,0.100512221557504,1.17363024065044,1.0497865147142,3.31815016072154,0.00829537540180385,0.1,60.535,45.2770102579083,787.6,0.342174587625538,0.363121304266904,0.0231016476273988,3.16131094288027,0.0592258715309767,29.6129357654883,NA,0.150780355672623
"yplant/euc_plfiles/10nd.p","yplant/euc_plfiles/10nd_leaf.l",1.51959593448867,6.88714466777219,1.2689816759647,1117,12.5726320501343,60.4261414503133,61.7724117617312,0.861626204042943,0.0986269110178967,0.096459908780288,0.0818887700591406,0.830288297727192,0.848940985893561,10104.0776287513,2333.69793004509,26.4,903.213428827216,478.45926310432,45213.1,1.42584901592614,1.94080062191673,1.49665773607047,2.4887698833576,2.98984659509729,26.766755551453,NA,0.434119905900631
"yplant/euc_plfiles/11nd.p","yplant/euc_plfiles/11nd_leaf.l",1.48825610689025,6.77031288187175,1.24089332977613,950,12.0930421052632,64.4368421052632,65.773724796354,0.746490079119788,0.103376495182058,0.101589385812246,0.0790022086444193,0.764218292613688,0.777662036370893,13571.2156219544,4068.74374458543,24.9,979.769578947368,528.690108855973,43789.9,1.39779237288066,1.74418738918876,1.40945793452874,2.77698114504569,3.5128912457921,36.9778025872853,NA,0.518866898337631
