"TOA5","ROS_WS","CR3000","4909","CR3000.Std.11","CPU:weather_station_final.CR3","30238","Table05min"
"TIMESTAMP","RECORD","PPFD_Avg","AirTC_Avg","RH","WS_ms_Avg","WS_ms_Max","WindDir","NetSW_Avg","NetLW_Avg","NetRad_Avg","LWmV_Avg","LWMDry_Tot","LWMCon_Tot","LWMWet_Tot"
"TS","RN","mV","Deg C","%","meters/second","meters/second","degrees","W/m^2","W/m^2","W/m^2","mV","Minutes","Minutes","Minutes"
"","","Avg","Avg","Smp","Avg","Max","Smp","Avg","Avg","Avg","Avg","Tot","Tot","Tot"
"2013-04-30 00:05:00",255019,0.008,16.72,90.9,0.187,0.574,113.2,-2.279,-21.72,-24,346.4,0,0,5
"2013-04-30 00:10:00",255020,0.008,16.72,91.2,0.159,0.654,98.3,-2.032,-20.35,-22.38,353.8,0,0,5
"2013-04-30 00:15:00",255021,0,16.63,91.2,0,0,64.99,-2.018,-19.82,-21.84,360.9,0,0,5
"2013-04-30 00:20:00",255022,0.008,16.47,91.3,0,0,63.88,-1.974,-19.45,-21.43,368.9,0,0,5
"2013-04-30 00:25:00",255023,0,16.37,91.6,0,0,63.92,-2.468,-17.73,-20.2,376.1,0,0,5
"2013-04-30 00:30:00",255024,0,16.41,91.6,0,0,64.25,-1.635,-15.72,-17.36,383.8,0,0,5
"2013-04-30 00:35:00",255025,0.017,16.31,91.6,0,0,222.1,-1.364,-14.12,-15.48,393.2,0,0,5
"2013-04-30 00:40:00",255026,0.008,16.19,91.7,0,0,218.6,-1.376,-13.41,-14.79,401.3,0,0,5
"2013-04-30 00:45:00",255027,0.008,16.17,91.9,0,0,211.9,-1.411,-14.01,-15.42,407.7,0,0,5
"2013-04-30 00:50:00",255028,0.017,16.07,91.8,0,0,73.33,-1.758,-14.76,-16.52,412.8,0,0,5
"2013-04-30 00:55:00",255029,0.058,15.93,92,0.447,0.761,101.4,-1.696,-15.21,-16.9,416.6,0,0,5
"2013-04-30 01:00:00",255030,0.033,15.97,92.3,0.268,0.92,165.1,-1.882,-13.92,-15.8,410,0,0,5
"2013-04-30 01:05:00",255031,0.042,15.65,91.9,1.035,1.293,163.9,-1.402,-12.01,-13.41,408.8,0,0,5
"2013-04-30 01:10:00",255032,0.017,15.77,92.6,0.594,1.107,139.6,-0.583,-6.835,-7.418,408.1,0,0,5
"2013-04-30 01:15:00",255033,0.05,15.86,92.6,0,0,106.9,-0.442,-5.881,-6.324,407.2,0,0,5
"2013-04-30 01:20:00",255034,0.033,15.89,92.5,0.124,0.468,106.6,-0.61,-4.373,-4.983,406.2,0,0,5
"2013-04-30 01:25:00",255035,0.017,15.9,92.6,0.067,0.361,106.5,-0.348,-3.095,-3.443,403.8,0,0,5
"2013-04-30 01:30:00",255036,0.042,15.94,92.8,0,0,61.43,-0.074,-3.459,-3.533,400.7,0,0,5
"2013-04-30 01:35:00",255037,0,15.97,92.6,0,0,35.69,-0.444,-4.385,-4.829,397.1,0,0,5
"2013-04-30 01:40:00",255038,0.017,15.92,92.7,0,0,35.59,-0.183,-2.238,-2.421,393.9,0,0,5
"2013-04-30 01:45:00",255039,0.008,15.89,92.7,0,0,194,0.098,-0.472,-0.374,389.2,0,0,5
"2013-04-30 01:50:00",255040,0,15.73,92.5,0.665,1.027,200.8,-0.032,-1.378,-1.41,384.5,0,0,5
"2013-04-30 01:55:00",255041,0,15.64,92.9,1.195,1.639,199.5,-0.014,-1.342,-1.355,381.4,0,0,5
"2013-04-30 02:00:00",255042,0.008,15.79,93.2,1.014,1.4,201.9,-0.132,-4.467,-4.599,379.6,0,0,5
"2013-04-30 02:05:00",255043,0.025,16.05,93.2,0.573,0.947,110.1,-0.845,-9.81,-10.66,381,0,0,5
"2013-04-30 02:10:00",255044,0,16.19,93.3,0.252,0.627,88.7,-1.107,-10.57,-11.68,383.6,0,0,5
"2013-04-30 02:15:00",255045,0.008,16.2,93.1,0.534,1,221.4,-1.122,-11.23,-12.35,386.4,0,0,5
"2013-04-30 02:20:00",255046,0.017,16.06,93,0.681,1.053,44.67,-1.245,-12.67,-13.91,390,0,0,5
"2013-04-30 02:25:00",255047,0,15.98,93.1,0.245,0.388,211.9,-1.381,-13.13,-14.51,393.7,0,0,5
"2013-04-30 02:30:00",255048,0.017,15.94,93.1,0.158,0.441,176.1,-1.24,-8.13,-9.37,397,0,0,5
"2013-04-30 02:35:00",255049,0.025,15.91,93.2,0,0,186.8,-0.961,-7.435,-8.4,396.5,0,0,5
"2013-04-30 02:40:00",255050,0,15.9,93.2,0.147,0.414,191,-0.866,-7.174,-8.04,396.4,0,0,5
"2013-04-30 02:45:00",255051,0,15.76,93.2,0.064,0.334,187,-1.013,-7.704,-8.72,397.5,0,0,5
"2013-04-30 02:50:00",255052,0.017,15.76,93.4,0,0,186.9,-1.045,-8.48,-9.52,398.2,0,0,5
"2013-04-30 02:55:00",255053,0.008,15.84,93.4,0,0,197.9,-1.139,-8.51,-9.65,400.4,0,0,5
"2013-04-30 03:00:00",255054,0,15.93,93.5,0.354,0.601,25.99,-0.898,-8.48,-9.37,403.7,0,0,5
"2013-04-30 03:05:00",255055,0.008,16.06,93.6,0.654,0.814,30.7,-0.689,-8.19,-8.88,406.2,0,0,5
"2013-04-30 03:10:00",255056,0,16.18,93.6,0.329,0.494,220.7,-0.686,-6.926,-7.612,407.2,0,0,5
"2013-04-30 03:15:00",255057,0,16.15,93.4,0.386,0.681,197.6,-0.84,-6.154,-6.994,406.8,0,0,5
"2013-04-30 03:20:00",255058,0,16.04,93.4,0.468,0.601,182.7,-1.09,-7.728,-8.82,401.7,0,0,5
"2013-04-30 03:25:00",255059,0.008,15.92,93.4,0.127,0.468,170.4,-1.339,-8.97,-10.31,394.1,0,0,5
"2013-04-30 03:30:00",255060,0.017,15.81,93.3,0,0,207.1,-1.319,-8.86,-10.18,395.6,0,0,5
"2013-04-30 03:35:00",255061,0.017,15.7,93.4,0.231,0.494,218.4,-1.142,-8.25,-9.39,397.5,0,0,5
"2013-04-30 03:40:00",255062,0,15.61,93.5,0.406,0.494,208.5,-0.958,-7.253,-8.21,398.5,0,0,5
"2013-04-30 03:45:00",255063,0.008,15.63,93.6,0.526,0.627,201.4,-0.618,-4.243,-4.861,398.7,0,0,5
"2013-04-30 03:50:00",255064,0,15.5,93.4,0.353,0.681,177.4,-0.495,-3.534,-4.029,397.1,0,0,5
"2013-04-30 03:55:00",255065,0.008,15.34,93.5,0.111,0.414,153,-0.286,-2.665,-2.951,394.2,0,0,5
"2013-04-30 04:00:00",255066,0.025,15.52,93.7,0.031,0.308,136.6,-0.351,-4.54,-4.891,390.6,0,0,5
"2013-04-30 04:05:00",255067,0,15.74,93.8,0.357,0.627,148.7,-0.624,-6.311,-6.935,387.6,0,0,5
"2013-04-30 04:10:00",255068,0.017,15.82,93.8,0,0,149.7,-1.005,-7.226,-8.23,385.2,0,0,5
"2013-04-30 04:15:00",255069,0.008,15.85,93.8,0,0,135.8,-1.231,-8.51,-9.74,379,0,0,5
"2013-04-30 04:20:00",255070,0,15.9,93.7,0.341,0.468,124.8,-1.413,-10.11,-11.52,373.7,0,0,5
"2013-04-30 04:25:00",255071,0.017,15.91,93.7,0,0,123.6,-1.766,-10.73,-12.49,375.7,0,0,5
"2013-04-30 04:30:00",255072,0.017,15.89,93.7,0,0,123.7,-1.762,-10,-11.76,377.7,0,0,5
"2013-04-30 04:35:00",255073,0,15.9,93.7,0,0,123,-1.305,-7.822,-9.13,378.8,0,0,5
"2013-04-30 04:40:00",255074,0.017,15.87,93.7,0.031,0.308,115.5,-1.048,-6.687,-7.734,379,0,0,5
"2013-04-30 04:45:00",255075,0,15.85,93.7,0.335,0.601,81.9,-0.972,-6.847,-7.819,379.9,0,0,5
"2013-04-30 04:50:00",255076,0,15.85,93.7,0.776,1,45.52,-0.657,-6.135,-6.793,380.9,0,0,5
"2013-04-30 04:55:00",255077,0.008,15.85,93.7,0.763,1.053,40.93,-0.371,-4.219,-4.589,381.6,0,0,5
"2013-04-30 05:00:00",255078,0.008,15.89,93.8,0.539,0.734,83.4,-0.307,-3.958,-4.265,378.7,0,0,5
"2013-04-30 05:05:00",255079,0.008,15.93,93.7,0.638,0.787,106.4,-0.621,-5.766,-6.387,376.2,0,0,5
"2013-04-30 05:10:00",255080,0.008,15.93,93.7,0.662,0.787,76.68,-1.043,-8.64,-9.68,376,0,0,5
"2013-04-30 05:15:00",255081,0.008,15.93,93.7,0.067,0.361,76.36,-1.326,-9.36,-10.69,377.2,0,0,5
"2013-04-30 05:20:00",255082,0.008,15.9,93.6,0,0,44.91,-1.251,-9.32,-10.57,379.9,0,0,5
"2013-04-30 05:25:00",255083,0.008,15.87,93.6,0,0,40.22,-0.651,-5.072,-5.724,383.5,0,0,5
"2013-04-30 05:30:00",255084,0.008,15.7,93.3,0.108,0.468,162.7,-0.36,-1.72,-2.08,382.8,0,0,5
"2013-04-30 05:35:00",255085,0.017,15.49,93.4,0,0,150.1,-0.229,-2.141,-2.37,380.2,0,0,5
"2013-04-30 05:40:00",255086,0.008,15.41,93.5,0,0,163.5,-0.401,-3.449,-3.851,377.9,0,0,5
"2013-04-30 05:45:00",255087,0.008,15.43,93.6,0,0,164.6,-0.33,-2.804,-3.134,376,0,0,5
"2013-04-30 05:50:00",255088,0.008,15.49,93.6,0,0,117.8,-0.342,-3.089,-3.431,374.2,0,0,5
"2013-04-30 05:55:00",255089,0.025,15.49,93.6,0,0,196,-0.251,-1.911,-2.162,371.7,0,0,5
"2013-04-30 06:00:00",255090,0.017,15.51,93.7,0,0,196,-0.206,-2.535,-2.741,368.7,0,0,5
"2013-04-30 06:05:00",255091,0.05,15.54,93.6,0,0,184.7,-0.386,-3.219,-3.605,366.9,0,0,5
"2013-04-30 06:10:00",255092,0.109,15.62,93.7,0.342,0.787,187.2,-0.303,-2.977,-3.28,365,0,0,5
"2013-04-30 06:15:00",255093,0.326,15.64,93.6,0.675,0.867,172.7,-0.229,-3.477,-3.705,362.6,0,0,5
"2013-04-30 06:20:00",255094,1.095,15.55,93.6,0.239,0.654,192.4,-0.441,-7.089,-7.53,361.8,0,0,5
"2013-04-30 06:25:00",255095,2.941,15.56,93.6,0,0,190.3,-0.468,-9.13,-9.6,363.3,0,0,5
"2013-04-30 06:30:00",255096,5.966,15.5,93.6,0,0,190.3,0.922,-9.26,-8.34,367,0,0,5
"2013-04-30 06:35:00",255097,9.81,15.5,93.7,0,0,210.3,2.179,-8.66,-6.482,371,0,0,5
"2013-04-30 06:40:00",255098,16.63,15.55,93.7,0,0,210.3,5.009,-7.141,-2.132,372.5,0,0,5
"2013-04-30 06:45:00",255099,22.83,15.65,93.8,0.031,0.308,187.8,6.653,-6.556,0.097,372.7,0,0,5
"2013-04-30 06:50:00",255100,29.45,15.72,93.7,0.436,0.494,194.4,8.95,-5.557,3.395,369.7,0,0,5
"2013-04-30 06:55:00",255101,41.37,15.75,93.7,0.339,0.574,184.1,12.61,-5.224,7.388,361.9,0,0,5
