"TOA5","ROS_WS","CR3000","4909","CR3000.Std.11","CPU:weather_station_final.CR3","30238","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max"
"TS","RN","Volts","Deg C"
"","","Min","Max"
"2013-05-31 00:02:30",2639480,13.01,8.19
"2013-05-31 00:03:00",2639481,13.03,8.19
"2013-05-31 00:03:30",2639482,13.02,8.18
"2013-05-31 00:04:00",2639483,13.03,8.18
"2013-05-31 00:04:30",2639484,13.02,8.17
"2013-05-31 00:05:00",2639485,13.03,8.16
"2013-05-31 00:05:30",2639486,13.02,8.16
"2013-05-31 00:06:00",2639487,13.03,8.15
"2013-05-31 00:06:30",2639488,13.02,8.15
"2013-05-31 00:07:00",2639489,13.04,8.14
"2013-05-31 00:07:30",2639490,13.02,8.13
"2013-05-31 00:08:00",2639491,13.04,8.13
"2013-05-31 00:08:30",2639492,13.02,8.12
"2013-05-31 00:09:00",2639493,13.03,8.12
"2013-05-31 00:09:30",2639494,13.02,8.11
"2013-05-31 00:10:00",2639495,13.03,8.1
"2013-05-31 00:10:30",2639496,13.02,8.09
"2013-05-31 00:11:00",2639497,13.03,8.09
"2013-05-31 00:11:30",2639498,13.02,8.08
"2013-05-31 00:12:00",2639499,13.03,8.07
"2013-05-31 00:12:30",2639500,13.02,8.07
"2013-05-31 00:13:00",2639501,13.03,8.06
"2013-05-31 00:13:30",2639502,13.02,8.06
"2013-05-31 00:14:00",2639503,13.03,8.05
"2013-05-31 00:14:30",2639504,13.01,8.04
"2013-05-31 00:15:00",2639505,13.03,8.04
"2013-05-31 00:15:30",2639506,13.01,8.03
"2013-05-31 00:16:00",2639507,13.03,8.03
"2013-05-31 00:16:30",2639508,13.01,8.02
"2013-05-31 00:17:00",2639509,13.03,8.02
"2013-05-31 00:17:30",2639510,13.01,8.01
"2013-05-31 00:18:00",2639511,13.03,8
"2013-05-31 00:18:30",2639512,13.01,7.999
"2013-05-31 00:19:00",2639513,13.03,7.994
"2013-05-31 00:19:30",2639514,13.01,7.989
"2013-05-31 00:20:00",2639515,13.03,7.986
"2013-05-31 00:20:30",2639516,13.02,7.98
"2013-05-31 00:21:00",2639517,13.03,7.975
"2013-05-31 00:21:30",2639518,13.02,7.97
"2013-05-31 00:22:00",2639519,13.03,7.964
"2013-05-31 00:22:30",2639520,13.01,7.958
