Date,Unit,OPENversion,Comment,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,PhotRange,CondRange,CO2RRange,Nlogs
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",11,"\"09:08:44\"",920.5,0,12.4,0.179,260,2.08,1.23,25.57,6,1.42,1,2.84,24.11,25.57,23.46,399.07,383.18,17.851,20.301,60.17,68.43,499.9,1800,427,101.6,0.187,0.107,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",12,"\"09:08:45\"",921,0,12.4,0.179,260,2.08,1.23,25.57,6,1.42,1,2.84,24.11,25.57,23.46,399.05,383.2,17.854,20.303,60.18,68.43,500,1800,426,101.6,0.187,0.107,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",13,"\"09:08:46\"",922,0,12.4,0.179,260,2.08,1.23,25.57,6,1.42,1,2.84,24.11,25.57,23.46,399.05,383.19,17.86,20.307,60.2,68.45,499.9,1800,425,101.6,0.187,0.107,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",14,"\"09:08:46\"",922.5,0,12.4,0.178,260,2.08,1.23,25.57,6,1.42,1,2.84,24.11,25.57,23.46,399.06,383.2,17.863,20.309,60.21,68.45,500,1800,425,101.6,0.187,0.107,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",15,"\"09:08:47\"",923,0,12.5,0.178,259,2.08,1.23,25.57,6,1.42,1,2.84,24.11,25.57,23.46,399.09,383.18,17.867,20.311,60.22,68.46,499.9,1800,425,101.6,0.187,0.107,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",16,"\"09:12:31\"",1148,0,21.6,0.159,1320,1.82,1.19,25.76,6,1.42,1,2.84,24.15,25.76,23.46,1599.77,1570.41,18.887,21.02,63.51,70.68,500,1801,404,101.6,-11.8,0.0908,0.7,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",17,"\"09:12:32\"",1148.5,0,21.7,0.159,1310,1.81,1.19,25.76,6,1.42,1,2.84,24.15,25.76,23.46,1599.81,1570.39,18.89,21.021,63.51,70.68,499.9,1801,403,101.6,-11.8,0.0908,0.7,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",18,"\"09:12:32\"",1149,0,21.7,0.159,1310,1.81,1.19,25.76,6,1.42,1,2.84,24.15,25.76,23.46,1599.86,1570.37,18.891,21.021,63.52,70.68,500,1801,402,101.6,-11.8,0.0908,0.7,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",19,"\"09:12:33\"",1149.5,0,21.7,0.159,1310,1.81,1.19,25.76,6,1.42,1,2.84,24.15,25.76,23.46,1599.89,1570.38,18.892,21.021,63.52,70.68,500,1801,401,101.6,-11.8,0.0908,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:07:27 plot3-4",20,"\"09:12:34\"",1150,0,21.7,0.159,1310,1.81,1.19,25.75,6,1.42,1,2.84,24.15,25.75,23.46,1599.92,1570.42,18.894,21.021,63.53,70.68,500,1801,402,101.6,-11.8,0.0908,1,-0.22,2.74,1,0,0.16,111115,9.3,0.02,1200.87,10
