Date,Unit,OPENversion,Comment,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,PhotRange,CondRange,CO2RRange,Nlogs
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",1,"\"08:34:47\"",650,0,26.7,0.801,281,5.54,1.07,25.95,6,1.42,0,1.42,25.15,25.95,25.01,399.6,365.06,16.018,22.523,50.84,71.48,499.8,1799,91,101.8,1.8,-0.0963,0.7,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",2,"\"08:34:48\"",651.5,0,26.4,0.802,282,5.54,1.07,25.95,6,1.42,0,1.42,25.15,25.95,25.01,399.07,364.98,16.022,22.526,50.85,71.49,499.7,1799,91,101.8,1.8,-0.0963,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",3,"\"08:34:50\"",653,0,26.3,0.802,282,5.54,1.07,25.95,6,1.42,0,1.42,25.15,25.95,25.01,398.81,364.82,16.025,22.531,50.86,71.51,499.7,1799,91,101.8,1.8,-0.0963,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",4,"\"08:34:51\"",655,0,26.9,0.803,280,5.54,1.07,25.95,6,1.42,0,1.42,25.15,25.95,25.01,399.31,364.64,16.028,22.533,50.87,71.51,499.7,1799,91,101.8,1.8,-0.0963,0.7,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",5,"\"08:34:56\"",659.5,0,26.8,0.803,280,5.54,1.07,25.95,6,1.42,0,1.42,25.15,25.95,25.01,399.28,364.73,16.04,22.539,50.91,71.53,499.7,1799,91,101.8,1.8,-0.0963,0.7,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",6,"\"08:45:37\"",1300.5,0,41.4,0.702,1380,5.17,1.09,26.79,6,1.42,0,1.42,25.47,26.79,25,1599.64,1540.35,17.967,24.028,55.97,74.85,499.7,1799,96,101.8,-6.72,-0.098,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",7,"\"08:45:38\"",1301,0,41.3,0.702,1380,5.17,1.09,26.79,6,1.42,0,1.42,25.47,26.79,25,1599.54,1540.37,17.969,24.028,55.98,74.86,499.7,1799,96,101.8,-6.72,-0.098,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",8,"\"08:45:39\"",1302,0,41.2,0.702,1380,5.17,1.09,26.79,6,1.42,0,1.42,25.46,26.79,25,1599.39,1540.37,17.97,24.027,55.99,74.86,499.7,1799,96,101.8,-6.72,-0.098,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",9,"\"08:45:39\"",1302.5,0,41.1,0.702,1380,5.17,1.09,26.79,6,1.42,0,1.42,25.46,26.79,25,1599.29,1540.32,17.971,24.026,55.99,74.86,499.7,1799,96,101.8,-6.72,-0.098,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
"\"Tue Mar  5 2013 08:24:50\"","unknown","6.1.4","\"08:25:10 plot1-5\"",10,"\"08:45:40\"",1303.5,0,41.1,0.701,1380,5.16,1.09,26.78,6,1.42,0,1.42,25.46,26.78,25,1599.31,1540.42,17.976,24.026,56.01,74.86,499.7,1799,96,101.8,-6.72,-0.098,1,-0.22,2.74,1,0,0.16,111115,15.1,0.102,1200.83,10
