"leglab","paste0.sprintf...2.1f...round.tab2_means...2...1..........sprintf...3.2f...","paste0.sprintf...2.1f...round.tab2_means...1...1..........sprintf...3.2f...","paste0.sprintf...2.1f...round.tab2_means...3...2..........sprintf...3.2f...","paste0.sprintf...2.1f...round.tab2_means...4...1..........sprintf...3.2f...","paste0.sprintf...1.2f...round.tab2_means...5...2..........sprintf...1.2f..."
"5","12.7 (0.97) b","6.4 (0.28) a","1.3 (0.03) a","-30.1 (0.26) a","0.78 (0.04) ab"
"10","9.4 (0.75) ab","6.7 (0.25) a","1.5 (0.04) ab","-30.2 (0.25) a","0.75 (0.02) a"
"15","7.3 (0.73) a","7.2 (0.28) a","1.6 (0.07) ab","-30.3 (0.36) a","0.71 (0.02) a"
"20","9.5 (0.88) ab","6.6 (0.26) a","1.7 (0.06) ab","-29.7 (0.28) a","0.76 (0.04) a"
"25","9.8 (0.71) ab","6.9 (0.24) a","1.6 (0.07) ab","-29.7 (0.25) a","0.74 (0.02) a"
"35","9.8 (0.65) ab","6.8 (0.22) a","1.8 (0.08) b","-30.6 (0.38) a","0.77 (0.03) ab"
"Free","6.8 (0.65) a","7.4 (0.25) a","2.7 (0.09) c","-30.0 (0.34) a","0.90 (0.03) b"
"Volume Effect (P value)","0.029","0.125","0.001","0.373","0.017"
