"Date","volume","carbon_day"
2013-01-21,"5",7.73354872966899
2013-01-21,"10",8.38860612584442
2013-01-21,"15",8.8614324521684
2013-01-21,"20",9.04627356839367
2013-01-21,"25",9.03272250728856
2013-01-21,"35",8.76569249947007
2013-01-21,"1000",10.4836175522579
2013-01-22,"5",6.57515401412905
2013-01-22,"10",7.13080311093765
2013-01-22,"15",7.54157830951058
2013-01-22,"20",7.69302910516119
2013-01-22,"25",7.67588836518792
2013-01-22,"35",7.44010329291822
2013-01-22,"1000",9.00242969345828
2013-01-23,"5",5.53239539748428
2013-01-23,"10",5.887110069059
2013-01-23,"15",6.13637944738902
2013-01-23,"20",6.22420415341205
2013-01-23,"25",6.21324410389723
2013-01-23,"35",6.07513642684285
2013-01-23,"1000",6.91690028742503
2013-01-24,"5",7.68731107178625
2013-01-24,"10",8.35277395044415
2013-01-24,"15",8.84421868983448
2013-01-24,"20",9.01913725743496
2013-01-24,"25",8.99234027072068
2013-01-24,"35",8.71931118231806
2013-01-24,"1000",10.5217771116608
2013-01-25,"5",8.27794655121908
2013-01-25,"10",9.05773219788081
2013-01-25,"15",9.63124651142786
2013-01-25,"20",9.81612918455887
2013-01-25,"25",9.78001043271196
2013-01-25,"35",9.45057951885565
2013-01-25,"1000",11.5527053191914
2013-01-26,"5",8.42103973353224
2013-01-26,"10",9.19070208121879
2013-01-26,"15",9.75181949242677
2013-01-26,"20",9.93422622533801
2013-01-26,"25",9.90058549666212
2013-01-26,"35",9.57862581855407
2013-01-26,"1000",11.5997069671561
2013-01-27,"5",5.21257207344097
2013-01-27,"10",5.47206876520001
2013-01-27,"15",5.64149216783388
2013-01-27,"20",5.70950864936973
2013-01-27,"25",5.70839946121836
2013-01-27,"35",5.61622429419111
2013-01-27,"1000",6.13455049781204
2013-01-28,"5",3.39395526945035
2013-01-28,"10",3.46919835765725
2013-01-28,"15",3.51689757629657
2013-01-28,"20",3.52238715760689
2013-01-28,"25",3.5150132191788
2013-01-28,"35",3.49030127594644
2013-01-28,"1000",3.612541924024
2013-01-29,"5",8.15073733799451
2013-01-29,"10",8.9251426502407
2013-01-29,"15",9.49615309230234
2013-01-29,"20",9.75286116009518
2013-01-29,"25",9.75084589066982
2013-01-29,"35",9.42584893654026
2013-01-29,"1000",11.6424079962186
2013-01-30,"5",7.1858896912883
2013-01-30,"10",7.79632097186264
2013-01-30,"15",8.24894010260266
2013-01-30,"20",8.4379074354181
2013-01-30,"25",8.42246567872057
2013-01-30,"35",8.17866880293238
2013-01-30,"1000",9.86904664835249
2013-01-31,"5",8.49209700300853
2013-01-31,"10",9.30959061166778
2013-01-31,"15",9.91478596019023
2013-01-31,"20",10.1265160632041
2013-01-31,"25",10.0951423715733
2013-01-31,"35",9.74782071440483
2013-01-31,"1000",12.0308729926751
2013-02-01,"5",4.60871867537858
2013-02-01,"10",4.95039097523654
2013-02-01,"15",5.19595358341092
2013-02-01,"20",5.3041160351527
2013-02-01,"25",5.30399429494173
2013-02-01,"35",5.16348738914064
2013-02-01,"1000",6.07923956304083
2013-02-02,"5",4.78064309189838
2013-02-02,"10",5.12156881562937
2013-02-02,"15",5.46475645847083
2013-02-02,"20",5.56447029632633
2013-02-02,"25",5.49678687436681
2013-02-02,"35",5.45147756363992
2013-02-02,"1000",6.30340811862624
2013-02-03,"5",6.79350065586697
2013-02-03,"10",7.39541387570677
2013-02-03,"15",8.0053683994151
2013-02-03,"20",8.18963709168531
2013-02-03,"25",8.04673552197398
2013-02-03,"35",7.96426753984401
2013-02-03,"1000",9.61484784025822
2013-02-04,"5",7.41985939596981
2013-02-04,"10",8.08250851933126
2013-02-04,"15",8.61611561844372
2013-02-04,"20",8.83378020831553
2013-02-04,"25",8.7794446249149
2013-02-04,"35",8.55692493942543
2013-02-04,"1000",10.4129323413206
2013-02-05,"5",7.96580931962417
2013-02-05,"10",8.73134578082981
2013-02-05,"15",9.33891875789354
2013-02-05,"20",9.5922427722272
2013-02-05,"25",9.54431960736079
2013-02-05,"35",9.26606257218365
2013-02-05,"1000",11.4825042116245
2013-02-06,"5",8.36608921944886
2013-02-06,"10",9.19067153021147
2013-02-06,"15",9.8554908557983
2013-02-06,"20",10.1183426794761
2013-02-06,"25",10.0430179394603
2013-02-06,"35",9.75692424349509
2013-02-06,"1000",12.1589009852774
2013-02-07,"5",8.35394765017121
2013-02-07,"10",9.18112836524178
2013-02-07,"15",9.82343896740484
2013-02-07,"20",10.0531702034475
2013-02-07,"25",9.99712311093744
2013-02-07,"35",9.67530897945626
2013-02-07,"1000",12.0395042721141
2013-02-08,"5",7.51654093709275
2013-02-08,"10",8.23696560952041
2013-02-08,"15",8.78472566577815
2013-02-08,"20",8.97064610491008
2013-02-08,"25",8.9325492360616
2013-02-08,"35",8.63142474425422
2013-02-08,"1000",10.6968799497849
2013-02-09,"5",7.33000542462009
2013-02-09,"10",7.96428233413662
2013-02-09,"15",8.4299873287853
2013-02-09,"20",8.59242379778327
2013-02-09,"25",8.56816207870917
2013-02-09,"35",8.30385765051203
2013-02-09,"1000",10.021862327314
2013-02-10,"5",6.54092705859064
2013-02-10,"10",7.12740867389612
2013-02-10,"15",7.55731788940392
2013-02-10,"20",7.7042871551581
2013-02-10,"25",7.6814938283895
2013-02-10,"35",7.43408985676344
2013-02-10,"1000",9.0308880547408
2013-02-11,"5",5.19022062409798
2013-02-11,"10",5.4498685543385
2013-02-11,"15",5.62140959224876
2013-02-11,"20",5.68490553263824
2013-02-11,"25",5.68064821607462
2013-02-11,"35",5.58757311178898
