plot,pot,Base (Time 0),1/21/2013,1/29/2013,02/03/2013,02/11/2013,2/18/2013,2/25/2013,03/04/2013,03/11/2013,03/18/2013,03/25/2013,04/02/2013,04/08/2013,04/15/2013,04/22/2013,04/29/2013,05/06/2013,05/13/2013,05/21/2013
6,6,6.2,2.9,3.6,3.8,3.9,3.9,4.3,5.6,5.8,6,6.2,6.6,6.4,6.8,7.1,7.3,7.3,7.3,7.4
6,7,5.6,3.4,3.8,3.7,4.1,4.2,4.7,4.9,5.1,5.6,5.6,5.8,6.1,6,6.4,6.4,6.4,6.7,7
6,8,4,2.4,3.1,3.1,3.3,3.3,3.8,4.8,5.1,5.7,6.5,7.4,8.2,8.1,8.5,8.8,9.3,10.6,11.8
7,1,5.9,3.3,3.4,3.7,4.2,4.5,4.7,5.3,5.4,5.8,6,6.2,6.4,6.7,6.5,6.7,6.9,7,7.2
7,2,3.8,2.2,3.1,2.9,3.1,3.3,3.8,4.5,5.1,5.7,6.4,7.2,7.7,8.5,9.2,9.9,10.8,11.5,11.7
7,3,4.3,2.4,2.6,2.9,3,3,3.4,3.4,3.6,3.7,3.8,4,4.2,4.3,4.4,4.5,4.8,4.8,5
7,4,5.4,3.2,3.6,4.1,4.4,4.5,4.7,5.1,4.7,5.1,5.4,5.5,5.2,5.5,5.9,5.9,5.9,5.9,5.4
7,5,5.2,2.6,3.2,3.5,3.8,4,4.5,4.9,4.9,5.3,5.4,5.8,5.7,5.9,5.9,6.3,6.3,6.3,6.3
7,6,5.4,2.4,3.1,3.5,3.6,3.7,4.1,4.4,4.7,5.1,5.3,5.3,5.5,5.6,5.6,5.5,5.7,5.7,5.7
7,7,,,,,,,,,,,,,,,,,,,
7,8,4.3,2.3,2.9,3.1,3.3,4,4.7,5.6,6,6.7,7,7.1,7.2,7.7,7.7,7.9,8.2,8.3,8.4
