plot,pot,Date,bar_pre,bar_peak
1,1,2013/04/23,,
1,2,2013/04/23,3.4,15.4
1,3,2013/04/23,,
1,4,2013/04/23,5,18.4
1,5,2013/04/23,,
1,6,2013/04/23,,
1,7,2013/04/23,5.2,17.6
1,8,2013/04/23,8.4,14
2,1,2013/04/23,,
2,2,2013/04/23,,
2,3,2013/04/23,3.7,13.4
2,4,2013/04/23,3.5,6.9
2,5,2013/04/23,,
2,6,2013/04/23,4.3,15.4
2,7,2013/04/23,,
2,8,2013/04/23,4,12.6
3,1,2013/04/23,8,18.5
3,2,2013/04/23,,
3,3,2013/04/23,,
3,4,2013/04/23,,
3,5,2013/04/23,3.2,12.8
3,6,2013/04/23,3.5,10
3,7,2013/04/23,2.6,16.3
3,8,2013/04/23,,
4,1,2013/04/23,2.5,11.4
4,2,2013/04/23,3.8,13.3
4,3,2013/04/23,,
4,4,2013/04/23,,
4,5,2013/04/23,,
4,6,2013/04/23,2.7,15
4,7,2013/04/23,3.6,19.7
4,8,2013/04/23,3.4,17.8
5,1,2013/04/23,,
5,2,2013/04/23,,
5,3,2013/04/23,,
5,4,2013/04/23,,
5,5,2013/04/23,2.6,23
5,6,2013/04/23,3.4,12
5,7,2013/04/23,3.2,21
5,8,2013/04/23,,
6,1,2013/04/23,2.5,15.2
6,2,2013/04/23,,
6,3,2013/04/23,3.5,15.2
6,4,2013/04/23,,
6,5,2013/04/23,,
6,6,2013/04/23,1.9,18.6
6,7,2013/04/23,4.9,12.8
6,8,2013/04/23,3,10.8
7,1,2013/04/23,,
7,2,2013/04/23,,
7,3,2013/04/23,4.4,13.8
7,4,2013/04/23,2.5,14.4
7,5,2013/04/23,3.4,12.2
7,6,2013/04/23,,
7,7,2013/04/23,,
7,8,2013/04/23,,
1,1,2013/05/20,,
1,2,2013/05/20,6.14,10.78
1,3,2013/05/20,,
1,4,2013/05/20,1.22,15
1,5,2013/05/20,1.68,11.42
1,6,2013/05/20,,
1,7,2013/05/20,3.43,9.81
1,8,2013/05/20,0.82,10.98
2,1,2013/05/20,1.26,7.02
2,2,2013/05/20,0.95,8.61
2,3,2013/05/20,,
2,4,2013/05/20,1.52,5.9
2,5,2013/05/20,,
2,6,2013/05/20,,
2,7,2013/05/20,,
2,8,2013/05/20,1.21,7.7
3,1,2013/05/20,1.26,10.2
3,2,2013/05/20,,
3,3,2013/05/20,1.97,11.6
3,4,2013/05/20,,
3,5,2013/05/20,1.75,6.22
3,6,2013/05/20,,
3,7,2013/05/20,1.46,6.6
3,8,2013/05/20,,
4,1,2013/05/20,1.25,6.32
4,2,2013/05/20,1.08,9.05
4,3,2013/05/20,,
4,4,2013/05/20,,
4,5,2013/05/20,1.03,9.81
4,6,2013/05/20,,
4,7,2013/05/20,,
4,8,2013/05/20,1.86,12.65
5,1,2013/05/20,,
5,2,2013/05/20,,
5,3,2013/05/20,,
5,4,2013/05/20,1.52,10.35
5,5,2013/05/20,,
5,6,2013/05/20,1.75,12.38
5,7,2013/05/20,,
5,8,2013/05/20,,
6,1,2013/05/20,2.03,8.3
6,2,2013/05/20,,
6,3,2013/05/20,1.88,8.7
6,4,2013/05/20,1.39,8.37
6,5,2013/05/20,3.1,12.5
6,6,2013/05/20,,
6,7,2013/05/20,1.88,9.2
6,8,2013/05/20,,
7,1,2013/05/20,,
7,2,2013/05/20,1.19,7.19
7,3,2013/05/20,,
7,4,2013/05/20,1.56,9.31
7,5,2013/05/20,0.89,9.85
7,6,2013/05/20,,
7,7,2013/05/20,,
7,8,2013/05/20,1.17,9.51
