plot,pot,03/20/2013,03/26/2013,04/02/2013,04/11/2013,04/04/2013,04/11/2013,04/14/2013,04/27/2013,05/03/2013
1,1,10.3,10.4,11.6,12.9,13.9,12.9,13.9,12.6,13.4
1,2,13.6,10.4,9.9,12.6,12.6,12.6,12.6,13.1,11.2
1,3,,,,,,,,,
1,4,13.8,11.8,12.4,12.7,13.4,12.7,13.45,12.7,12.5
1,5,6.2,6.4,6.9,5.9,8.1,5.9,8.1,7.9,6.2
1,6,13.5,13.6,12.5,14.1,13.3,14.1,13.3,16.1,10.8
1,7,6.6,8.3,6.7,7.7,11.6,7.7,11.6,14.8,10.8
1,8,4.4,12.6,10.2,9,11.3,9,11.3,8.9,7.6
2,1,12.1,11.3,10.1,13.8,13.2,13.8,13.2,13.5,11.7
2,2,6.5,10.1,8,12.6,10.2,12.6,10.2,12,13
2,3,8.2,8.7,7.4,6.5,8.2,6.5,8.2,7.6,7.4
2,4,8.1,8.3,9.3,9.8,12.7,9.8,12.7,13.9,12.8
2,5,,,,,,,,,
2,6,10,12.2,8.1,10.8,12.5,10.8,12.5,8.9,10.7
2,7,14.4,11.1,16.1,12,15.2,12,15.2,11.9,13.1
2,8,7.1,8.1,5.1,12.5,12.3,12.5,12.3,11.7,14.5
3,1,6.1,7.9,8.3,10.9,13.3,10.9,13.3,18.1,9.5
3,2,6.4,6.2,5.4,5.9,6.1,5.9,6.1,6.6,7.7
3,3,13.2,10.4,11.4,11.2,13.2,11.2,13.2,12.9,12.2
3,4,19,16.3,12.6,16.3,12.9,16.3,12.9,13.6,12.5
3,5,9.6,9.2,10.7,12,14.6,12,14.6,12.6,13.7
3,6,6.1,9.5,8.7,13.4,11.9,13.4,11.9,13.9,10.7
3,7,18.5,17.2,14.1,13.9,12.1,13.9,12.1,11.8,11.3
3,8,,,,,,,,,
4,1,8.9,8.2,7.7,7.9,11.3,7.9,11.3,9.9,10.6
4,2,6.9,11.8,9.2,12.9,14.2,12.9,14.2,11.6,12.4
4,3,,,,,,,,,
4,4,14.5,11.4,12.9,12.9,13,12.9,13.6,12.5,14.3
4,5,5.7,10.8,3.3,11.4,14.1,11.4,14.1,9.3,12.7
4,6,8.9,10.3,8.7,13.9,12.4,13.9,12.4,13.4,12.5
4,7,15.8,12.9,14.8,16,15.8,16,15.8,15.2,11.3
4,8,6.5,5.7,4.6,5.6,5.8,5.6,5.8,6.3,4.9
5,1,,,,,,,,,
5,2,14.7,12.5,12.8,13.1,15.5,13.1,15.5,12,13.5
5,3,12.3,11.3,13.9,15.8,13.4,15.8,13.4,13.6,13.9
5,4,9.8,9.4,9.2,11.6,11.7,11.6,11.7,13.5,11.5
5,5,14.8,10.2,13.2,13.8,12.3,13.8,12.3,13.5,11.3
5,6,5.4,6.8,5.9,6,6.5,6,6.5,6.4,7.4
5,7,5.3,6.5,6.5,7.8,10.5,7.8,10.5,11.6,11.2
5,8,7.5,8.6,9.9,10.3,15.3,10.3,15.3,9.7,10.8
6,1,7.8,6.7,8.7,8.9,12.1,8.9,12.1,7.3,8.9
6,2,,,,,,,,,
6,3,9.1,9.6,6.1,9.9,14.4,9.9,14.1,8.4,9.4
6,4,14.4,12.6,12.9,12.9,14.9,12.9,14.9,12.9,11
6,5,7.6,12.9,8.4,14.1,11.9,14.1,11.9,13.9,9.9
6,6,7.8,10.2,7.9,9.9,13.4,9.9,13.4,14.2,10.2
6,7,16.2,12.9,14.8,14.9,13.2,14.9,13.2,12.1,12.5
6,8,5.9,6.5,6.8,6.2,7.9,6.2,7.9,8.8,6.4
7,1,8.3,9.4,7.9,10.9,12.3,10.9,12.3,10.9,10.2
7,2,4.6,7.4,4.9,6.1,6.6,6.1,6.6,6.8,7
7,3,19.5,14.5,15.2,15.3,11.9,15.3,11.9,15.5,10.6
7,4,9.2,12.2,11.9,16,13.8,16,13.8,12.3,11.9
7,5,12.6,10.5,11.1,11.4,15.6,11.4,15.6,10.6,12.4
7,6,10,12.7,11.4,12.9,9.3,12.9,9.3,11.1,12.8
7,7,,,,,,,,,
7,8,9.6,9.6,10.7,10.4,12.1,10.4,12.1,12.9,10.9
