Date,type,plot,pot,CO2,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
04/23/2013,wp_peak,5,5,400,1,13:23:27,793,0,20.86981097,0.518722154,291.4909805,5.443825173,1.219506118,24.54878998,6,1.420000017,1,2.840000033,22.67502975,24.54878998,20.95355034,399.835022,372.3768005,12.21158791,18.61832047,44.4965477,67.84137726,500.3302612,1800.55957,571.6674194,100.7413406,1.54901886,-0.104444847,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833883769,0.005443825,297.69879,295.8250298,288.0895248,0.319049013,3.095140682,30.72363999,12.10531952,23.61190987,2.925861485,0.438610535,1.875634564,1.050226921,0.280355704,29.36519216,0.782785018,65.84166406,362.4562919,0.037910863
04/23/2013,wp_peak,5,5,400,2,13:23:32,798,0,20.8979336,0.517103953,291.215012,5.432275038,1.220157592,24.54366493,6,1.420000017,1,2.840000033,22.67424774,24.54366493,20.95744705,399.887085,372.4041748,12.21009064,18.60239029,44.49331665,67.78672028,500.4041138,1800.683594,816.8077393,100.7415848,1.54901886,-0.104444847,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834006856,0.005432275,297.6936649,295.8242477,288.1093686,0.325911953,3.09419187,30.71414726,12.11175697,23.60895634,2.9253409,0.43745301,1.874034278,1.051306621,0.279599072,29.33746182,0.781986432,65.79690311,362.470298,0.037934675
04/23/2013,wp_peak,5,5,400,3,13:23:37,803,0,20.78854331,0.518392141,291.9312276,5.43081552,1.217280694,24.52511024,6,1.420000017,1,2.840000033,22.67294693,24.52511024,20.96077919,399.9163818,372.5621948,12.20591259,18.59701157,44.48126221,67.77194977,500.366394,1800.861084,700.6923828,100.7408218,1.54901886,-0.104444847,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83394399,0.005430816,297.6751102,295.8229469,288.137767,0.329348226,3.090758923,30.68030285,12.08329128,23.59902859,2.923591642,0.438374562,1.873478229,1.050113413,0.28020145,29.40939179,0.783577163,65.85343677,362.680317,0.037746659
04/23/2013,wp_peak,5,5,400,4,13:23:43,808.5,0,20.73351211,0.516471721,291.7658756,5.42211135,1.219166813,24.52715302,6,1.420000017,1,2.840000033,22.66903877,24.52715302,20.95999908,399.7331848,372.4460144,12.20011139,18.58191109,44.47097015,67.73345184,500.3000793,1801.193604,778.7412109,100.7415161,1.54901886,-0.104444847,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833833466,0.005422111,297.677153,295.8190388,288.1909701,0.33373641,3.091136709,30.68384146,12.10193037,23.59809589,2.92342735,0.437000461,1.871969895,1.051457455,0.279303282,29.39293666,0.783377629,65.78534579,362.5902957,0.037617147
04/23/2013,wp_peak,5,5,400,5,13:23:47,813,0,20.92437813,0.516218896,290.9831195,5.418076637,1.218759515,24.52230453,6,1.420000017,1,2.840000033,22.66344643,24.52230453,20.95570564,399.8800049,372.3679504,12.20057011,18.57725525,44.4872551,67.73873138,500.3311462,1801.303833,768.8706055,100.7404251,1.54901886,-0.104444847,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833885244,0.005418077,297.6723045,295.8134464,288.2086068,0.335970812,3.090240107,30.67527364,12.09801839,23.59287548,2.922507931,0.436819443,1.871480591,1.05102734,0.27918497,29.31376315,0.781439754,65.78450712,362.4215032,0.037980636
04/23/2013,wp_peak,5,7,400,6,13:28:20,1085.5,0,16.74220161,0.371261897,290.1497296,4.508005835,1.349302234,24.80574417,6,1.420000017,1,2.840000033,22.55864525,24.80574417,20.94706535,399.7119751,377.5911255,12.49450302,17.80481339,45.85163116,65.33911133,500.2805481,1800.629028,1108.043945,100.7444534,1.325080872,-0.105733261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833800913,0.004508006,297.9557442,295.7086452,288.1006381,0.758083262,3.143038427,31.19812873,13.39331535,23.68219471,2.938273721,0.328339395,1.793736193,1.144537528,0.20868024,29.23097592,0.768423064,61.07975689,369.6326847,0.027665562
04/23/2013,wp_peak,5,7,400,7,13:28:25,1090.5,0,16.7028997,0.371153673,290.448531,4.511640925,1.35073757,24.81200027,6,1.420000017,1,2.840000033,22.55575371,24.81200027,20.95042992,399.8072815,377.7350769,12.48849297,17.80215263,45.83780289,65.34107208,500.3697205,1800.680786,1106.016113,100.7448425,1.325080872,-0.105733261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833949534,0.004511641,297.9620003,295.7057537,288.1089193,0.755048415,3.144212634,31.20966349,13.40751086,23.68387699,2.938571373,0.328254746,1.793475064,1.14509631,0.208625531,29.26119152,0.768921259,61.0514155,369.7953183,0.027575678
04/23/2013,wp_peak,5,7,400,8,13:28:31,1097,0,16.70820671,0.371193497,290.3990381,4.506637751,1.349133016,24.79792595,6,1.420000017,1,2.840000033,22.55291939,24.79792595,20.95581818,399.7706604,377.6936035,12.4838562,17.79191399,45.82854462,65.31455231,500.3475342,1800.464966,1105.955566,100.7445602,1.325080872,-0.105733261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833912557,0.004506638,297.9479259,295.7029194,288.0743881,0.758795191,3.141571566,31.18353545,13.39162147,23.67542267,2.937075784,0.328285896,1.79243855,1.144637233,0.208645663,29.25612339,0.768874652,61.06618696,369.7513223,0.027594397
04/23/2013,wp_peak,5,7,400,9,13:28:38,1103,0,16.65831815,0.370076387,290.4638873,4.503540897,1.351810681,24.80488205,6,1.420000017,1,2.840000033,22.55254555,24.80488205,20.96136284,399.7690735,377.7520447,12.47352791,17.77822495,45.79183197,65.26602173,500.3274536,1800.2677,1105.369507,100.7449265,1.325080872,-0.105733261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833879089,0.004503541,297.954882,295.7025455,288.0428256,0.759043468,3.142876646,31.1963764,13.41815146,23.6787138,2.937657913,0.327411816,1.791065965,1.146591949,0.208080771,29.26276297,0.768927373,60.99155987,369.833478,0.027472278
04/23/2013,wp_peak,5,7,400,10,13:28:42,1107.5,0,16.73088932,0.367803219,289.5748413,4.495207883,1.356669997,24.82439995,6,1.420000017,1,2.840000033,22.5543766,24.82439995,20.9660759,399.7753296,377.6750793,12.47132969,17.76636696,45.77866364,65.21522522,500.3187866,1800.262695,1105.410889,100.7449112,1.325080872,-0.105733261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833864644,0.004495208,297.9743999,295.7043766,288.0420248,0.760973697,3.146541058,31.2327543,13.46638734,23.68938828,2.939546691,0.325631304,1.789871061,1.14967563,0.206930234,29.17319167,0.766730073,60.86872759,369.7220159,0.027544693
