plot,pot,1/21/2013,1/29/2013,02/03/2013,02/11/2013,2/18/2013,2/25/2013,03/04/2013,03/11/2013,03/18/2013,03/25/2013,04/02/2013,04/08/2013,04/15/2013,04/22/2013,04/29/2013,05/06/2013,05/13/2013,05/21/2013
1,1,16,16,31,57,65,63,66,62,61,61,57,57,40,31,30,27,26,26
1,2,18,18,18,36,46,45,45,45,51,50,49,49,47,43,37,38,37,38
1,3,,,,,,,,,,,,,,,,,,
1,4,17,18,50,62,64,69,69,73,69,71,70,70,66,69,68,60,59,62
1,5,17,17,17,35,64,88,114,132,200,206,264,290,304,292,286,277,279,263
1,6,22,14,50,73,91,102,86,90,106,99,98,94,91,83,80,75,75,77
1,7,.,18,22,28,29,36,65,69,91,113,115,157,160,155,151,148,137,133
1,8,22,13,60,70,74,84,83,69,70,76,72,76,75,64,59,52,50,57
2,1,19,19,19,24,41,50,52,49,50,47,45,38,31,29,29,25,25,25
2,2,20,15,36,42,48,59,59,57,60,52,47,52,49,44,43,36,35,36
2,3,17,16,16,18,28,36,44,51,66,88,120,153,175,176,181,191,190,202
2,4,17,16,14,15,35,55,57,68,64,70,68,68,55,53,47,42,44,43
2,5,,,,,,,,,,,,,,,,,,
2,6,15,17,20,28,32,34,34,39,37,38,39,33,25,20,17,13,13,13
2,7,14,16,17,17,17,15,17,27,32,29,30,31,32,30,30,29,30,27
2,8,19,16,47,68,80,75,76,82,73,78,71,65,60,50,45,45,41,41
3,1,29,28,35,34,50,62,65,73,82,67,61,55,45,42,41,37,34,37
3,2,24,22,24,26,33,52,77,90,111,165,198,232,255,265,265,265,264,266
3,3,19,15,26,36,40,42,44,43,44,42,43,42,39,29,30,26,28,29
3,4,16,15,27,38,41,44,38,39,37,38,36,34,31,32,28,36,37,40
3,5,17,15,29,51,64,68,87,86,87,89,95,92,80,80,71,67,64,65
3,6,21,21,17,31,40,48,55,54,53,50,50,49,48,42,34,33,30,30
3,7,17,17,,16,22,22,23,24,35,41,44,47,45,37,33,29,28,32
3,8,,,,,,,,,,,,,,,,,,
4,1,15,15,,39,54,58,70,76,93,89,86,89,76,71,68,63,64,66
4,2,19,18,,50,63,54,56,61,56,58,54,52,40,30,31,26,26,26
4,3,,,,,,,,,,,,,,,,,,
4,4,13,12,,46,70,59,67,54,53,58,63,57,66,57,52,54,52,40
4,5,21,16,,48,59,58,67,54,55,56,52,46,35,30,27,27,25,58
4,6,19,19,,22,30,40,39,43,40,38,38,35,32,27,20,18,17,20
4,7,17,11,,56,63,69,67,67,69,65,62,62,59,78,88,97,100,116
4,8,18,17,,31,36,42,52,68,89,120,147,199,226,221,226,225,231,233
5,1,,,,,,,,,,,,,,,,,,
5,2,17,15,33,42,44,42,46,45,47,44,44,43,36,31,29,28,28,28
5,3,24,15,39,52,58,59,68,69,69,72,71,69,67,47,44,38,38,39
5,4,14,12,34,41,48,49,43,47,41,44,56,49,46,41,44,40,40,41
5,5,18,16,35,37,43,35,43,46,47,43,47,47,43,44,41,38,38,36
5,6,17,18,23,46,53,58,77,118,148,156,199,206,254,300,302,300,288,314
5,7,13,10,10,40,56,65,70,74,86,93,100,94,91,88,84,77,76,75
5,8,16,16,14,15,18,23,26,31,28,26,28,24,16,13,13,12,11,13
6,1,17,17,31,37,47,39,62,70,77,88,88,87,83,81,78,69,71,74
6,2,,,,,,,,,,,,,,,,,,
6,3,20,14,42,65,79,82,75,71,74,73,71,69,59,57,53,49,40,48
6,4,16,16,27,33,33,37,37,39,38,39,35,39,43,47,43,42,41,39
6,5,16,11,26,58,70,64,71,66,60,60,62,58,52,45,44,46,46,41
6,6,24,25,24,44,52,46,64,57,63,65,63,61,51,46,43,39,40,41
6,7,22,24,32,46,60,64,64,56,57,56,69,65,63,65,63,62,64,62
6,8,16,16,15,27,64,74,80,103,124,140,174,200,206,202,197,197,187,185
7,1,19,13,29,44,44,58,62,79,71,91,87,80,77,74,74,71,65,60
7,2,18,16,27,33,41,47,52,60,59,88,125,126,127,136,138,143,151,160
7,3,17,12,30,61,71,78,75,72,77,88,106,115,116,111,106,94,100,95
7,4,19,21,23,25,29,34,33,32,32,31,34,44,47,44,41,39,37,34
7,5,19,31,42,44,52,50,50,48,50,48,50,56,54,56,57,58,57,58
7,6,22,25,37,44,66,50,52,49,53,46,45,35,28,27,24,22,23,20
7,7,,,,,,,,,,,,,,,,,,
7,8,16,13,30,46,67,76,65,80,105,102,105,98,98,83,76,71,74,74
