Volume,plot,pot,CO2 R,Ps,Cond,Ci,Temp
1000,1,5,50,0.171309189,0.349903153,46.89579243,24.0733757
1000,1,5,100,3.60761362,0.358872782,76.2992713,24.22182274
1000,1,5,150,6.388576317,0.360593605,107.0463204,24.43078232
1000,1,5,230,11.88125613,0.35933816,152.3831726,24.58962059
1000,1,5,330,17.49430261,0.362617026,217.4936543,24.6527729
1000,1,5,400,21.29763768,0.366214233,263.2233076,24.7758503
1000,1,5,650,28.4446718,0.367862391,466.222033,24.71090126
1000,1,5,900,31.23132148,0.373655932,693.6584275,24.65968704
1000,1,5,1200,32.30366179,0.360495527,975.2619934,24.82734299
1000,1,5,1500,33.28467717,0.358232987,1262.156172,24.92072105
1000,1,5,1600,34.13262099,0.34990046,1349.856822,25.15132523
1000,1,5,1800,33.82069199,0.346214332,1544.017945,24.95459366
5,1,8,50,-0.039224623,0.216342736,49.25114525,24.7442112
5,1,8,100,1.958123059,0.225027686,80.41282086,24.68816948
5,1,8,150,4.038570709,0.246060398,113.4687923,24.67709351
5,1,8,230,7.922323452,0.253433899,162.0764878,24.84353256
5,1,8,330,12.59564419,0.263324915,225.6093204,24.91326714
5,1,8,400,16.08428209,0.275599352,271.5064133,24.95568657
5,1,8,650,21.2479764,0.280641266,479.0791356,24.93323326
5,1,8,900,22.96675705,0.279927196,709.5175009,24.97600174
5,1,8,1200,24.13861517,0.274740819,992.1730523,24.78134727
5,1,8,1500,24.16614399,0.256212039,1274.660614,25.0883503
5,1,8,1600,22.92554904,0.257524727,1384.3716,24.91863632
5,1,8,1800,24.32085726,0.244996819,1557.759159,25.18650055
10,2,8,50,-0.440108165,0.120962089,53.2312866,24.55872536
10,2,8,100,2.482463017,0.2780493,79.47366806,24.58291626
10,2,8,150,5.453171191,0.428385907,116.7468842,24.71278191
10,2,8,230,9.709987946,0.685964162,188.0080098,24.73687172
10,2,8,330,14.82257659,1.000015096,278.446616,24.67508316
10,2,8,400,17.79821548,1.241007824,343.0325866,24.76596069
10,2,8,650,23.89253256,2.117481147,588.0807804,24.83785439
10,2,8,900,26.56744092,2.982111187,833.2554681,24.91185188
10,2,8,1200,25.97878899,3.939454372,1136.992223,24.87313652
10,2,8,1500,26.61106569,4.951865985,1436.863695,24.95913696
10,2,8,1600,27.40187839,5.339362921,1536.46772,25.04541588
10,2,8,1800,28.67520688,5.997837364,1731.763997,25.0756588
25,3,3,100,2.695741232,0.378858965,81.48405446,24.93273354
25,3,3,150,5.314064062,0.374979666,114.0401793,24.91334724
25,3,3,230,9.383817901,0.372591409,169.1890834,24.9777565
25,3,3,330,14.47908923,0.373280239,236.7457337,24.99279594
25,3,3,400,17.36503653,0.373450915,287.9997594,25.15657616
25,3,3,650,22.83332666,0.373694312,499.6543455,25.15200615
25,3,3,900,24.13623604,0.370868173,735.0358971,25.10373116
25,3,3,1200,24.26372049,0.360991316,1024.124289,24.88869858
25,3,3,1500,24.98662683,0.351127807,1311.840292,24.94677353
25,3,3,1600,24.56210749,0.339364433,1407.629752,24.98655891
25,3,3,1800,25.14930908,0.333990774,1596.921128,24.84681702
5,4,5,50,-0.28335074,0.231142988,50.78520176,25.00801086
