Date,plot,pot,Obs,HHMMSS,bay,code,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
2013/05/17,1,5,11,19:13:45,77,,1577,1,-0.539271688,0.018362431,451.1199199,0.083614388,0.454938154,13.05051926,34.06,4,1,8,13.11698151,13.065135,12.97817039,401.4231567,407.1712036,9.490076065,10.43144798,63.25629807,69.53102875,299.3713989,0.053753134,0.056582246,100.9601212,5.056555271,0.162141144,0.666666687,0,4,0,1,0.189999998,111115,0.087895302,8.36E-05,286.215135,286.2669815,0.010750627,-0.01461574,1.508098406,14.93756533,4.506117352,13.065135,1.509539678,0.01832038,1.053160252,0.456379426,0.011454008,45.54512176,1.1079367,69.51606463,407.2622057,-0.000920489
2013/05/17,1,5,12,19:13:48,77,,1579.5,1,-0.539873876,0.018463761,450.8523663,0.083939269,0.454210659,13.04436921,34.06,4,1,8,13.11757851,13.05859852,12.97713661,401.349823,407.1029663,9.48757267,10.43254948,63.23775864,69.53633881,299.3877869,0.181843504,0.191414222,100.9610977,5.056555271,0.162141144,1,0,4,0,1,0.189999998,111115,0.087900114,8.39E-05,286.2085985,286.2675785,0.036368702,-0.014229305,1.507492306,14.93141754,4.498868067,13.05859852,1.50889496,0.018421245,1.053281647,0.455613312,0.011517091,45.51854981,1.107465196,69.55303758,407.19407,-0.000922161
2013/05/17,1,5,13,19:13:50,77,,1582,1,-0.541160733,0.018554167,450.7509958,0.084291975,0.453902533,13.04312704,34.06,4,1,8,13.11613655,13.05747414,12.97677517,401.3490601,407.1159058,9.485308647,10.43437099,63.22874069,69.55515289,299.3510132,0.14867571,0.156500742,100.9612732,5.056555271,0.162141144,1,0,4,0,1,0.189999998,111115,0.087889317,8.43E-05,286.2074741,286.2661366,0.029735141,-0.014347091,1.507369913,14.93017932,4.495808327,13.05747414,1.508784082,0.018511234,1.053467381,0.455316701,0.011573371,45.50839443,1.107181,69.57155567,407.2072266,-0.000924576
2013/05/17,1,5,14,19:13:52,77,,1584,1,-0.546989062,0.018591253,451.2182849,0.084471317,0.453966665,13.04291784,34.06,4,1,8,13.11221218,13.05756283,12.97747231,401.3435974,407.1760254,9.482345581,10.43345356,63.22566605,69.56739044,299.3429871,0.069763929,0.073435716,100.9620285,5.056555271,0.162141144,1,0,4,0,1,0.189999998,111115,0.08788696,8.45E-05,286.2075628,286.2622122,0.013952786,-0.014644991,1.507349301,14.92986346,4.496409905,13.05756283,1.508792828,0.018548149,1.053382636,0.455410192,0.011596458,45.55591334,1.108165159,69.56700001,407.2683298,-0.000934332
2013/05/17,1,5,15,19:13:56,77,,1587.5,1,-0.545244189,0.018662405,450.8881878,0.08481329,0.454077112,13.04313679,34.06,4,1,8,13.11308098,13.0577364,12.97738361,401.3641357,407.1748047,9.477525711,10.43243217,63.1907959,69.55757141,299.3595886,0.158970907,0.167337805,100.9633942,5.056555271,0.162141144,1,0,4,0,1,0.189999998,111115,0.087891835,8.48E-05,286.2077364,286.263081,0.031794183,-0.014599607,1.507370873,14.92987519,4.497443014,13.0577364,1.508809943,0.018618971,1.053293762,0.455516181,0.011640751,45.52320183,1.10735778,69.56031721,407.2668146,-0.000931266
2013/05/17,1,6,21,19:23:31,77,,2162.5,1,-0.10593167,0.001862239,487.6256924,0.010853747,0.581594625,12.97255172,12.28,4,1,8,13.0642519,12.97017765,12.97555542,400.3193359,400.7360535,9.055615425,9.09973526,60.57698059,60.87211609,299.3464661,0.203570575,0.214284822,100.9738998,4.26688242,0.063390076,1,0,4,0,1,0.189999998,111115,0.243767481,1.09E-05,286.1201777,286.2142519,0.040714116,0.00237407,1.500430382,14.85958633,5.759851073,12.97017765,1.500197434,0.001861806,0.918835757,0.581361677,0.001163667,49.23746783,1.21682511,60.77729273,400.7539294,-0.000160653
2013/05/17,1,6,22,19:23:35,77,,2167,1,-0.111696691,0.001818944,494.8737246,0.010607041,0.581908171,12.97334444,12.28,4,1,8,13.06400013,12.97116566,12.97616577,400.341095,400.7818604,9.054172516,9.097289085,60.56906891,60.85750198,299.3501282,0.001143681,0.001203875,100.9751358,4.26688242,0.063390076,1,0,4,0,1,0.189999998,111115,0.243770463,1.06E-05,286.1211657,286.2140001,0.000228736,0.002178783,1.500508172,14.86017484,5.762885753,12.97116566,1.500294375,0.00181853,0.918600001,0.581694374,0.001136619,49.96994155,1.234770766,60.75800627,400.8007092,-0.000169323
2013/05/17,1,6,23,19:23:36,77,,2168,1,-0.114131348,0.00183267,496.2469823,0.010688134,0.581963049,12.97359508,12.28,4,1,8,13.06147003,12.97154808,12.97668743,400.321167,400.7718201,9.053587914,9.097037315,60.5748558,60.86555862,299.3281555,0.024017323,0.025281392,100.9746017,4.26688242,0.063390076,1,0,4,0,1,0.189999998,111115,0.24375257,1.07E-05,286.1215481,286.21147,0.004803464,0.002047004,1.500532769,14.86049703,5.763459711,12.97154808,1.500331899,0.001832251,0.91856972,0.581762179,0.001145194,50.1083414,1.238228232,60.75501475,400.7910797,-0.000173009
2013/05/17,1,6,24,19:23:37,77,,2169,1,-0.115726079,0.001847484,496.8252154,0.01077178,0.581818863,12.97202137,12.28,4,1,8,13.0605154,12.96993637,12.97693253,400.3121338,400.7692261,9.053105354,9.096898079,60.57565308,60.86867905,299.3057556,0.050322507,0.052971061,100.9750214,4.26688242,0.063390076,1,0,4,0,1,0.189999998,111115,0.243734329,1.08E-05,286.1199364,286.2105154,0.010064502,0.002085001,1.500378341,14.8589059,5.76200782,12.96993637,1.500173761,0.001847057,0.918559478,0.581614283,0.001154449,50.16693674,1.239679055,60.76080668,400.7887549,-0.000175444
2013/05/17,1,6,25,19:23:38,77,,2170,1,-0.105780526,0.001946568,483.5826206,0.011346944,0.581694041,12.97224478,12.28,4,1,8,13.06105804,12.97017956,12.97738361,400.3266296,400.7419739,9.05223465,9.098365784,60.56758499,60.87623978,299.3048096,0.140672103,0.148075894,100.9748611,4.26688242,0.063390076,1,0,4,0,1,0.189999998,111115,0.243733558,1.13E-05,286.1201796,286.211058,0.028134419,0.002065217,1.500400262,14.85914658,5.760780793,12.97017956,1.500197621,0.001946094,0.918706222,0.581491399,0.001216351,48.82968797,1.206718168,60.77025001,400.7598243,-0.000160403
2013/05/17,1,7,26,19:38:04,77,,3036,1,-0.329121107,0.01000724,451.4665265,0.056747747,0.566422531,12.9222221,26.52,4,1,8,13.05166245,12.92788601,12.97812843,399.9549561,402.6678467,8.703119278,9.201155663,58.26687622,61.60120392,299.3963928,0.156683415,0.164929911,100.9738617,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.112894567,5.67E-05,286.077886,286.2016624,0.031336683,-0.005663912,1.495498751,14.81075127,5.609595611,12.92788601,1.496053026,0.009994738,0.929076219,0.566976806,0.006247833,45.58631861,1.121188419,61.71248176,402.7233859,-0.000504338
2013/05/17,1,7,27,19:38:06,77,,3038,1,-0.3263203,0.010066882,450.7085775,0.05706575,0.566223684,12.92298461,26.52,4,1,8,13.05713177,12.92861557,12.98042202,399.9754028,402.6624756,8.703040123,9.203888893,58.24536514,61.59731293,299.3827209,0.022873556,0.024077429,100.973587,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.112889412,5.71E-05,286.0786156,286.2071318,0.004574711,-0.005630961,1.49557336,14.81153046,5.607641569,12.92861557,1.496124434,0.010054231,0.929349676,0.566774758,0.00628503,45.50966178,1.119321031,61.72804923,402.7175421,-0.00050018
2013/05/17,1,7,28,19:38:09,77,,3040,1,-0.31731563,0.010110058,449.058354,0.057265974,0.565791375,12.91862416,26.52,4,1,8,13.05536747,12.92406178,12.97970581,400.0430908,402.6498108,8.701262474,9.203891754,58.24052429,61.60478973,299.3688965,0.134954706,0.142057583,100.9741745,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.112884199,5.73E-05,286.0740618,286.2053675,0.02699094,-0.005437616,1.495146748,14.80721932,5.603327566,12.92406178,1.495678763,0.010097297,0.929355372,0.566323391,0.006311956,45.3432966,1.115257829,61.74664738,402.7033578,-0.000486541
2013/05/17,1,7,29,19:38:10,77,,3042,1,-0.335514191,0.010134318,451.8213518,0.057401279,0.565774593,12.91879573,26.52,4,1,8,13.04997826,12.92444324,12.98029518,399.9017944,402.66922,8.700370789,9.204184532,58.25532532,61.62872314,299.3706665,0.229879856,0.241978794,100.9746094,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.112884867,5.74E-05,286.0744432,286.1999783,0.04597597,-0.005647517,1.495163531,14.80732177,5.603137234,12.92444324,1.495716092,0.010121496,0.929388938,0.566327155,0.006327086,45.62248451,1.122065779,61.74831961,402.725838,-0.00051443
2013/05/17,1,7,30,19:38:13,77,,3045,1,-0.32233032,0.010170337,449.5182401,0.057626872,0.56598762,12.92295602,26.52,4,1,8,13.05626011,12.92868423,12.98066139,399.9711304,402.6208496,8.700335503,9.206102371,58.23119736,61.61628723,299.3860168,0.089207344,0.093902469,100.9746475,5.5541749,-0.132091224,1,0,4,0,1,0.189999998,111115,0.112890655,5.76E-05,286.0786842,286.2062601,0.017841469,-0.005728219,1.495570562,14.8113472,5.605244824,12.92868423,1.496131155,0.010157424,0.929582942,0.566548213,0.006349549,45.38994585,1.116480283,61.74438836,402.6752429,-0.000494247
2013/05/17,1,8,1,19:34:24,1,,575.5,1,-0.619621744,0.018472856,452.1730494,0.10869737,0.588672087,12.52690666,6.66,4,1,8,12.99639034,12.52717495,12.964324,401.1522217,402.4301453,8.36276722,8.601901054,56.19202042,57.79883575,300.1237183,0.050031509,0.052664746,100.9758453,0.479774475,0.446609735,1,0,4,0,1,0.189999998,111115,0.450636214,0.000108697,285.6771749,286.1463903,0.010006302,-0.000268292,1.457256318,14.43173179,5.829830739,12.52717495,1.457281977,0.018430299,0.86858423,0.588697747,0.011522753,45.65855591,1.123606307,59.22757571,402.5347064,-0.00091169
