Cell,ID,wt_mg,d13c,n_perc
A1,1-1,3.07,-29.86,1.29
A2,1-2,3.06,-29.37,1.24
A3,1-4,2.96,-28.87,1.63
A4,1-5,2.97,-30.17,1.75
A5,1-6,3.05,-28.94,1.12
A6,1-7,2.9,-29.36,1.22
A7,1-8,3.07,-29.89,1.17
A8,2-1,2.92,-29.34,1.33
A9,2-2,3.09,-29.46,1.1
A10,2-3,3.08,-29.2,1.67
A11,2-4,2.91,-30.18,1.12
A12,2-6,2.98,-28.93,1.2
B1,2-7,3.06,-29.81,1.15
B2,2-8,3,-30.88,1.31
B3,3-1,2.95,-30.84,1.02
B4,3-2,2.96,-31.06,2.3
B5,3-3,3,-29.54,1.18
B6,3-4,3.01,-29.36,2.01
B7,3-5,3,-29.6,1.16
B8,3-6,3.09,-30.02,1.32
B9,3-7,3.05,-30.5,1.9
B10,4-1,2.95,-30.54,1.02
B11,4-2,2.98,-30.65,1.3
B12,4-4,3.08,-31.21,1.39
C1,4-5,3.08,-30.41,1.33
C2,4-6,3.09,-29.26,1.6
C3,4-7,3.02,-30.16,1.8
C4,4-8,2.9,-30.8,1.75
C5,5-2,3,-30.38,1.81
C6,5-3,3.08,-28.97,1.39
C7,5-4,3.07,-31.51,1.52
C8,5-5,3,-30.49,1.38
C9,5-6,2.98,-30.73,
C10,5-7,3.09,-31.69,1.58
C11,5-8,3.07,-30.74,
C12,6-1,3.02,-31.79,1.06
D1,6-3,3.07,-29.56,1.15
D2,6-4,3.01,-29.15,1.65
D3,6-5,2.97,-30.8,1.25
D4,6-6,3.08,-30.53,1.23
D5,6-7,3.05,-28.9,1.56
D6,6-8,3.05,-28.78,2.36
D7,7-1,2.93,-31.44,1.05
D8,7-2,3.09,-29.43,2.18
D9,7-3,3,-29.55,1.57
D10,7-4,3.07,-30.08,1.7
D11,7-5,2.95,-30.84,1.68
D12,7-6,2.99,-30.35,1.32
E1,7-8,3.05,-30.6,0.93
