plot,pot,campaign,type,area,mass
2,2,4,Amax,20.03,0.24
2,3,4,Amax,45.42,0.33
2,4,4,Amax,23.08,0.25
2,6,4,Amax,17,0.19
2,7,4,Amax,35.94,0.31
2,8,4,Amax,23.42,0.31
3,1,4,Amax,12.35,0.13
3,2,4,Amax,33.97,0.27
3,3,4,Amax,19.56,0.25
3,4,4,Amax,20.33,0.24
3,5,4,Amax,17.31,0.21
3,6,4,Amax,18.29,0.18
3,7,4,Amax,14.25,0.08
4,1,4,Amax,20.77,0.2
4,2,4,Amax,17.68,0.2
4,4,4,Amax,18.97,0.14
4,5,4,Amax,13.62,0.13
4,6,4,Amax,34.43,0.29
4,7,4,Amax,8.88,0.1
4,8,4,Amax,46.58,0.42
5,2,4,Amax,20.76,0.25
5,3,4,Amax,13.38,0.17
5,4,4,Amax,24,0.2
5,5,4,Amax,10.62,0.14
5,6,4,Amax,28.26,0.2
5,7,4,Amax,35.42,0.34
5,8,4,Amax,22.61,0.26
6,1,4,Amax,27.35,0.23
6,3,4,Amax,15.23,0.19
6,4,4,Amax,24.51,0.28
6,5,4,Amax,17.65,0.2
6,6,4,Amax,24.54,0.28
6,7,4,Amax,27.76,0.24
6,8,4,Amax,25.08,0.24
7,1,4,Amax,13.94,0.14
7,2,4,Amax,29.58,0.2
7,3,4,Amax,10.5,0.07
7,4,4,Amax,11.65,0.13
7,5,4,Amax,26.91,0.22
7,6,4,Amax,18.06,0.22
7,8,4,Amax,22.42,0.23
1,1,5,Amax,,
1,2,5,Amax,24.24,0.33
1,4,5,Amax,19.99,0.26
1,5,5,Amax,27.54,0.28
1,6,5,Amax,11.23,0.14
1,7,5,Amax,33.75,0.36
1,8,5,Amax,17.24,0.17
2,1,5,Amax,17.97,0.16
2,2,5,Amax,24.92,0.32
2,3,5,Amax,46.25,0.42
2,4,5,Amax,24.97,0.26
2,6,5,Amax,,
2,7,5,Amax,27.31,0.26
2,8,5,Amax,11.29,0.11
3,1,5,Amax,8.63,0.08
3,2,5,Amax,38.5,0.33
3,3,5,Amax,23.31,0.33
3,4,5,Amax,,
3,5,5,Amax,12.44,0.15
3,6,5,Amax,15.01,0.19
3,7,5,Amax,28.35,0.24
4,1,5,Amax,20.25,0.21
4,2,5,Amax,9.63,0.1
4,4,5,Amax,18.27,0.16
4,5,5,Amax,12.14,0.12
4,6,5,Amax,,
4,7,5,Amax,9.07,0.11
4,8,5,Amax,28.16,0.29
5,2,5,Amax,,
5,3,5,Amax,6.39,0.06
5,4,5,Amax,13.39,0.12
5,5,5,Amax,10.59,0.15
5,6,5,Amax,44.74,0.48
5,7,5,Amax,20.28,0.21
5,8,5,Amax,,
6,1,5,Amax,25.55,0.29
6,3,5,Amax,7.57,0.07
6,4,5,Amax,19.39,0.16
6,5,5,Amax,11.91,0.11
6,6,5,Amax,22.42,0.24
6,7,5,Amax,18.31,0.16
6,8,5,Amax,27.47,0.24
7,1,5,Amax,18.52,0.21
7,2,5,Amax,22.5,0.2
7,3,5,Amax,18.7,0.17
7,4,5,Amax,18.84,0.16
7,5,5,Amax,23.24,0.22
7,6,5,Amax,,
7,8,5,Amax,13.1,0.16
1,1,6,Amax,28.65,0.39
1,2,6,Amax,14.83,0.19
1,4,6,Amax,19.25,0.21
1,5,6,Amax,34.06,0.39
1,6,6,Amax,12.28,0.15
1,7,6,Amax,26.52,0.27
1,8,6,Amax,6.66,0.1
2,1,6,Amax,37.08,0.39
2,2,6,Amax,19.98,0.29
2,3,6,Amax,41.62,0.37
2,4,6,Amax,46.47,0.6
2,6,6,Amax,24.26,0.32
2,7,6,Amax,33.43,0.36
2,8,6,Amax,19.82,0.29
3,1,6,Amax,14.03,0.16
3,2,6,Amax,39.64,0.37
3,3,6,Amax,22.75,0.34
3,4,6,Amax,19.74,0.31
3,5,6,Amax,21.58,0.3
3,6,6,Amax,25.88,0.3
3,7,6,Amax,31.43,0.32
4,1,6,Amax,17.86,0.21
4,2,6,Amax,17.235,0.185
4,4,6,Amax,12.505,0.125
4,5,6,Amax,14.57,0.135
4,6,6,Amax,23.61,0.22
4,7,6,Amax,9.14,0.095
4,8,6,Amax,29.37,0.38
5,2,6,Amax,16.075,0.16
5,3,6,Amax,11.165,0.145
5,4,6,Amax,26.395,0.27
5,5,6,Amax,9.935,0.115
5,6,6,Amax,31.83,0.36
5,7,6,Amax,34.62,0.34
5,8,6,Amax,14.335,0.19
6,1,6,Amax,14.6,0.18
6,3,6,Amax,10.24,0.13
6,4,6,Amax,23,0.19
6,5,6,Amax,21.39,0.22
6,6,6,Amax,20.1,0.2
6,7,6,Amax,24.16,0.25
6,8,6,Amax,21.31,0.23
7,1,6,Amax,16.53,0.2
7,2,6,Amax,26.97,0.29
7,3,6,Amax,18.83,0.18
7,4,6,Amax,16.16,0.14
7,5,6,Amax,22.91,0.21
7,6,6,Amax,9.25,0.11
7,8,6,Amax,19.39,0.29
