ID,mass,c_perc,n_perc,volume
'1-1,0.2984,0.56138,0.046,10
'1-4,0.296,0.59368,0.04737,20
1-5,0.3028,0.49901,0.04299,1000
'1-6,0.2962,0.53,0.04919,25
'1-7,0.3029,0.60907,0.04419,35
'1-8,0.3083,0.56535,0.04431,5
'2-1,0.3008,0.60786,0.04573,20
2-2,0.3051,0.52526,0.04486,15
'2-3,0.304,0.51297,0.05219,1000
'2-4,0.2997,0.53114,0.04377,25
'2-7,0.3025,0.63484,0.05071,35
'2-8,0.2977,0.57038,0.04817,10
'3-1,0.299,0.53255,0.04691,5
'3-2,0.3019,0.45055,0.04508,1000
3-3,0.3001,0.64424,0.04852,25
'3-4,0.2993,0.53886,0.04589,20
'3-5,0.296,0.64514,0.05195,35
'3-6,0.3006,0.55371,0.0461,10
'3-7,0.2999,0.50215,0.04497,15
'4-1,0.2974,0.54464,0.0436,25
4-2,0.2997,0.55378,0.04719,10
'4-4,0.2983,0.48886,0.04456,35
'4-5,0.3058,0.56456,0.04694,5
'4-6,0.2985,0.55284,0.04567,15
'4-7,0.3054,0.59064,0.04609,20
'4-8,0.3005,0.58497,0.04606,1000
'5-2,0.2993,0.52867,0.0458,25
'5-3,0.3037,0.49977,0.04402,10
'5-4,0.2951,0.50647,0.04351,15
'5-5,0.3066,0.52067,0.04402,20
'5-6,0.3053,0.2627,0.03033,1000
'5-7,0.2988,0.48787,0.04576,35
'5-8,0.3007,0.56117,0.0469,5
'6-1,0.3023,0.50236,0.0444,35
'6-3,0.2959,0.49847,0.04518,5
'6-4,0.3015,0.46512,0.04446,20
'6-5,0.3002,0.49343,0.04736,10
'6-6,0.3052,0.53232,0.0445,15
'6-7,0.3017,0.50141,0.04316,25
6-8,0.3014,0.43035,0.03475,1000
'7-1,0.3098,0.50873,0.04479,15
'7-2,0.3062,0.50418,0.04452,1000
'7-3,0.2933,0.47991,0.04403,25
'7-4,0.2975,0.53993,0.04677,10
'7-5,0.2976,0.55186,0.04548,20
'7-6,0.2967,0.571,0.04482,5
7-8,0.3035,0.3388,0.03226,35
pre10,0.2976,0.52436,0.04601,
pre15,0.3003,0.54788,0.04693,
pre20,0.305,0.46567,0.04521,
pre25,0.2991,0.51559,0.04629,
pre35,0.3071,0.61884,0.04972,
pre5,0.3004,0.67245,0.05792,
