ps_campaign,ID,mass,abs620
3-2,0,,0.001
3-2,0,,0.0027
3-2,0,,0.0042
3-2,20,,0.0464
3-2,20,,0.0508
3-2,20,,0.0495
3-2,40,,0.0771
3-2,40,,0.0948
3-2,40,,0.0937
3-2,60,,0.1313
3-2,60,,0.1447
3-2,60,,0.1565
3-2,80,,0.1736
3-2,80,,0.1692
3-2,80,,0.16
3-2,100,,0.1914
3-2,100,,0.1867
3-2,100,,0.2011
3-2,'7-3,25.3,0.1922
3-2,'7-3,25.3,0.1933
3-2,'7-3,25.3,0.1971
3-2,'7-4,25.9,0.1935
3-2,'7-4,25.9,0.1997
3-2,'7-4,25.9,0.1907
3-2,'7-5,29.3,0.1883
3-2,'7-5,29.3,0.1913
3-2,'7-5,29.3,0.1898
3-2,'7-6,26.9,0.1203
3-2,'7-6,26.9,0.1287
3-2,'7-6,26.9,0.1302
3-2,'4-5,25.2,0.153
3-2,'4-5,25.2,0.1519
3-2,'4-5,25.2,0.1543
3-2,'4-6,27.1,0.1662
3-2,'4-6,27.1,0.1738
3-2,'4-6,27.1,0.1667
3-2,'4-6,27.1,0.1593
3-2,'4-7,27.3,0.231
3-2,'4-7,27.3,0.2333
3-2,'4-7,27.3,0.2414
3-2,'4-8,25.8,0.1605
3-2,'4-8,25.8,0.149
3-2,'4-8,25.8,0.1698
3-2,'5-2,25.7,0.2217
3-2,'5-2,25.7,0.2177
3-2,'5-2,25.7,0.2216
3-2,'5-3,26,0.1024
3-2,'5-3,26,0.1052
3-2,'5-3,26,0.1013
3-2,'5-3,26,0.1033
3-2,'5-4,26.7,0.1589
3-2,'5-4,26.7,0.1637
3-2,'5-4,26.7,0.1547
3-2,'5-5,26.6,0.1347
3-2,'5-5,26.6,0.1317
3-2,'5-5,26.6,0.1455
3-2,'5-6,30,0.2607
3-2,'5-6,30,0.275
3-2,'5-6,30,0.255
3-2,'5-7,27.9,0.1646
3-2,'5-7,27.9,0.1676
3-2,'5-7,27.9,0.1741
3-2,'5-8,25.9,0.1579
3-2,'5-8,25.9,0.1784
3-2,'5-8,25.9,0.1767
3-2,'6-1,27,0.2125
3-2,'6-1,27,0.2077
3-2,'6-1,27,0.1887
3-2,'6-3,28,0.1537
3-2,'6-3,28,0.1531
3-2,'6-3,28,0.1514
3-2,'6-4,27.2,0.1438
3-2,'6-4,27.2,0.1467
3-2,'6-4,27.2,0.1516
3-2,'6-5,24.6,0.1783
3-2,'6-5,24.6,0.1625
3-2,'6-5,24.6,0.1695
3-2,'6-6,25.3,0.1686
3-2,'6-6,25.3,0.1569
3-2,'6-6,25.3,0.1571
3-2,'6-7,25.6,0.1507
3-2,'6-7,25.6,0.1413
3-2,'6-7,25.6,0.1331
3-2,'6-8,25.2,0.2372
3-2,'6-8,25.2,0.2322
3-2,'6-8,25.2,0.2399
3-2,'7-1,25.5,0.1274
3-2,'7-1,25.5,0.1239
3-2,'7-1,25.5,0.1321
3-2,'7-2,26.5,0.1895
3-2,'7-2,26.5,0.1954
3-2,'7-2,26.5,0.1923
