plot,pot,srl_fw,ss_fw,ss_dw,total_length_cm,surfacearea_cm2
1,1,0.39,1.99,0.26,438.3912,32.7245
1,2,0.44,3.7,0.62,297.544,37.5382
1,3,,,,,
1,4,0.51,2.06,0.37,771.6045,56.5657
1,5,0.35,0.63,0.17,603.0237,44.3759
1,6,0.25,1.73,0.33,660.8578,46.0644
1,7,0.62,1.66,0.39,774.6579,57.8732
1,8,0.45,2.7,0.41,673.1375,46.7518
2,1,0.5,2.8,0.44,651.1828,40.6507
2,2,0.55,3.67,0.52,582.2013,41.4491
2,3,0.49,4.68,1.08,446.7612,36.7615
2,4,0.5,5.83,0.49,575.6995,37.0199
2,5,,,,,
2,6,0.27,1.45,0.44,541.546,40.2743
2,7,0.48,3.57,0.61,461.3735,34.6527
2,8,0.5,5.51,0.4,512.8434,38.396
3,1,0.37,1.48,0.3,636.0926,45.5878
3,2,0.25,4.43,1.24,371.014,24.7103
3,3,0.38,2.54,0.62,597.0006,40.6744
3,4,0.61,3.56,0.57,547.721,45.7657
3,5,0.37,2.69,0.64,494.3807,33.804
3,6,0.34,2.68,0.58,564.2423,35.6701
3,7,0.47,3,0.44,567.6167,34.8001
3,8,,,,,
4,1,0.67,3.79,0.73,637.1087,48.8455
4,2,0.47,3.22,0.46,721.8757,43.8374
4,3,,,,,
4,4,0.29,1.66,0.65,571.2751,41.8402
4,5,0.36,1.6,0.4,612.7799,46.3712
4,6,0.25,1.2,0.38,723.0397,52.8612
4,7,0.17,1.42,0.44,541.1721,32.6468
4,8,0.7,7.15,1.39,513.044,43.1798
5,1,,,,,
5,2,0.26,1.33,0.36,597.9034,38.459
5,3,0.21,0.88,0.31,718.3172,48.406
5,4,0.28,2.21,0.67,506.5009,43.2502
5,5,0.3,0.94,0.22,461.0957,34.2889
5,6,0.5,4.03,0.78,338.7691,28.8702
5,7,0.47,1.65,0.29,535.7921,49.7748
5,8,0.26,0.7,0.27,420.9111,37.2622
6,1,0.31,2.35,0.55,438.1995,29.9588
6,2,,,,,
6,3,0.3,3.16,0.48,319.5037,27.0285
6,4,0.37,2.03,0.36,673.2308,38.9792
6,5,0.44,2.4,0.33,674.461,46.6638
6,6,0.26,1.95,0.42,484.4907,31.8184
6,7,0.27,1.3,0.44,474.0728,30.6938
6,8,0.25,2.78,0.92,522.4253,39.2394
7,1,0.31,2.2,0.41,506.2031,33.0412
7,2,0.28,3.53,0.81,411.5788,24.6875
7,3,0.34,1.82,0.53,506.2092,31.7594
7,4,0.36,3.3,0.4,334.9148,21.9965
7,5,0.5,5.11,0.6,622.7445,39.1662
7,6,0.35,2.27,0.35,438.2465,30.0704
7,7,,,,,
7,8,0.27,4.43,0.72,440.4512,25.3914
