Volume,plot,pot,CO2 R,Ps,Ci,Temp,Cond
1000,5,6,650,33.4598629,484.3672591,24.98443985,0.554488856
1000,5,6,900,36.1974014,715.6250958,25.05532265,0.551081253
1000,5,6,1200,37.3522727,1001.684074,25.09087753,0.536592751
1000,5,6,1500,38.45273612,1287.140957,24.97215271,0.51898382
1000,5,6,1600,38.63768647,1380.029974,24.87756538,0.498607692
1000,5,6,1800,38.43093175,1571.717609,24.87914085,0.480897742
5,6,3,50,-0.160451548,50.76287845,25.78894043,0.204560865
5,6,3,100,2.159739197,76.45670669,25.51183128,0.210141822
5,6,3,150,4.508380687,104.8348165,25.26180077,0.216652911
5,6,3,230,8.489154666,150.0671494,24.90402603,0.222642406
5,6,3,330,12.56120849,212.3225407,24.71188545,0.228684956
5,6,3,400,15.17289916,257.9576242,24.80861664,0.225036663
5,6,3,650,19.14119956,458.5967622,24.96123505,0.21473258
5,6,3,900,19.95181056,681.9490786,25.02460861,0.198253708
5,6,3,1200,20.18074704,956.3615901,24.99324608,0.181478601
5,6,3,1500,20.50019877,1231.338452,25.00875664,0.169166459
5,6,3,1600,20.54802286,1315.526405,25.07971191,0.159578523
5,6,3,1800,20.67546848,1495.315391,25.08044815,0.148987591
1000,7,2,50,-0.307466172,50.98216384,24.86665154,0.388661314
1000,7,2,100,3.448388631,76.71899704,24.8390789,0.387214294
1000,7,2,150,7.014659169,105.6452592,24.87055969,0.389453212
1000,7,2,230,12.45542209,153.9165725,24.90320587,0.390269665
1000,7,2,330,18.431214,216.261612,24.91802979,0.392259315
1000,7,2,400,21.9557136,265.2053146,24.91544533,0.391857546
1000,7,2,650,30.33365536,456.5124309,25.0266037,0.386029518
1000,7,2,900,35.24228254,666.2755399,25.12172127,0.370256168
1000,7,2,1200,37.72547395,938.5312641,25.14735031,0.360380031
1000,7,2,1500,38.87317752,1220.225986,24.93104935,0.35138244
1000,7,2,1600,39.27411445,1309.904819,24.96724319,0.343154469
1000,7,2,1800,40.07766204,1492.105275,25.02030754,0.331650103
10,7,4,50,-0.30450822,50.39375532,25.72572136,0.443350846
10,7,4,100,2.784332975,82.06985981,25.67406845,0.442896783
10,7,4,150,5.709445051,115.3334454,25.63925362,0.448912132
10,7,4,230,10.30950687,170.0513958,25.38412094,0.445525276
10,7,4,330,15.54147998,239.3589269,24.98411942,0.447547216
10,7,4,400,18.92823798,291.4115397,24.66612816,0.451729227
10,7,4,650,24.35434783,505.2065674,24.88754654,0.447007987
10,7,4,900,25.66806812,739.8270256,24.95049477,0.44127706
10,7,4,1200,25.06551033,1034.458283,24.83338165,0.438021848
10,7,4,1500,25.13992865,1325.175451,24.85357094,0.43426482
10,7,4,1600,25.5407337,1418.422173,24.90645027,0.429707566
10,7,4,1800,25.89260203,1608.723238,24.91931725,0.429028197
15,1,2,50,-0.18182662,50.13610346,25.02285194,0.373394427
15,1,2,100,2.295846271,84.14911603,24.83308983,0.385746211
15,1,2,150,5.013491142,117.5908144,24.93881035,0.397878646
15,1,2,230,9.170983919,173.0112072,24.95952415,0.407544262
15,1,2,330,13.42049194,249.5734542,25.00180435,0.418647465
15,1,2,400,16.05886686,303.8842347,25.05180359,0.426866007
15,1,2,650,19.7069862,528.3189156,25.03391647,0.428864062
15,1,2,900,20.95349041,762.5247961,25.01863289,0.416877769
15,1,2,1200,21.03057542,1050.228003,24.98200226,0.391410656
15,1,2,1500,22.35026463,1320.66207,25.02786827,0.342804753
15,1,2,1600,22.20043527,1408.427667,25.04216766,0.310228428
15,1,2,1800,22.29553955,1591.713446,24.98730278,0.282362917
5,1,8,50,-0.152597253,50.62968004,25.03733826,0.214957465
5,1,8,100,1.880519934,80.3500129,24.92676926,0.217093034
5,1,8,150,4.089088746,110.1843744,24.89126396,0.222571221
5,1,8,230,7.144430647,162.5798525,24.8512764,0.230134371
5,1,8,330,10.73761802,233.7282607,24.86369705,0.237927516
5,1,8,400,12.95984218,285.3089279,24.89491844,0.243553399
5,1,8,650,17.15787057,496.0413112,24.93296051,0.244906482
5,1,8,900,18.5147843,724.1478041,24.95979309,0.236592285
5,1,8,1200,19.47146768,1004.15261,24.95357895,0.226514088
5,1,8,1500,19.98410419,1282.890684,24.99041557,0.21261936
5,1,8,1600,20.25925588,1371.786143,25.00093269,0.203175906
5,1,8,1800,20.63605441,1555.475846,25.04525566,0.192861924
25,2,4,50,-0.424777538,52.28035796,25.5732975,0.355859561
25,2,4,100,3.098798218,78.395705,25.31695366,0.372206323
25,2,4,150,6.94649238,106.6451387,25.15031433,0.395134167
25,2,4,230,12.36636318,155.8461018,24.84156036,0.418212674
25,2,4,330,18.58005402,224.6870443,24.69868088,0.437853168
25,2,4,400,22.50402147,272.460979,24.81933022,0.442577925
25,2,4,650,29.39104933,479.740175,24.9128933,0.440937647
25,2,4,900,31.30174203,708.8241839,24.97358894,0.42220948
25,2,4,1200,31.61798213,995.133936,24.80620766,0.406273545
25,2,4,1500,32.5784829,1271.293822,24.86668396,0.376633829
25,2,4,1600,32.56870388,1361.322668,24.88536072,0.359823245
25,2,4,1800,32.52579393,1550.421539,24.8683033,0.346960682
10,2,8,50,-0.227641728,51.5007613,25.41280746,0.266327873
10,2,8,100,1.855060037,83.0990715,25.32923317,0.272069554
10,2,8,150,4.050394965,116.5574813,25.09321213,0.283668839
10,2,8,230,7.333074246,172.4436831,25.07440948,0.295603537
10,2,8,330,11.1925037,246.5554109,25.07876015,0.304914204
10,2,8,400,13.52866401,298.3221093,25.09736824,0.307817823
10,2,8,650,17.49020065,514.5862587,25.16306114,0.306536594
10,2,8,900,18.55678129,747.2241064,25.07150459,0.293474838
10,2,8,1200,19.12831265,1023.333747,25.04191971,0.260817846
10,2,8,1500,19.87046549,1296.45851,25.08657455,0.234001829
10,2,8,1600,20.36277064,1368.528292,25.1482029,0.202179022
10,2,8,1800,20.62029157,1546.750406,25.14276123,0.185103255
35,3,5,50,0.075317954,48.5202971,25.02514458,0.298682369
35,3,5,100,3.039411704,76.78077186,24.91265488,0.306794601
35,3,5,150,6.173382706,105.4493259,24.84002495,0.318873599
35,3,5,230,10.57789978,155.8066575,24.8540802,0.332045162
35,3,5,330,15.71294447,224.1219186,24.89526939,0.341595712
35,3,5,400,18.64583682,275.9079644,24.92013741,0.353928365
35,3,5,650,23.79738009,491.9685292,24.91222572,0.367417513
35,3,5,900,25.56628315,723.8777582,24.91542244,0.365488675
35,3,5,1200,26.14863658,1005.667566,24.96608925,0.344424353
35,3,5,1500,26.97889797,1284.866959,25.01263237,0.324842923
